Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,686118,666422,2022-07-10 20:48:41 CST,2022-07-10,20:48:41,Status,"55,761",45199,4420,636,355,76,280,22,93,4680,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/589220445903430,接受徵召，決戰雙北！ 今天佳龍接受民進黨選對會的決議，接受徵召，代表民進黨參選2022年新北市市長，承擔責任！ 這段時間，佳龍曾經多次公開表態，不會投入新北市選舉，而是積極準備台北市長的選舉。對這樣的轉折，有人熱切支持，也有人困惑不解，情緒發展劇烈，隨著今天的徵召拍板，塵埃落定。 我必須對所有關心這場選舉的人說明。佳龍的從政歷史，都在尋找為台灣人民做事的機會跟場域，我的價值理想，從學生時代，一路走來始終堅定而執著。 從2005年，我40歲出頭，首次從台北到台中參選，便一直留在台中耕耘。爾後，我有機會成為台中選出的立委、有機會成為台中選出的市長，有機會把自己從一個學者、政務官，蛻變為實戰的政治工作者，我要感謝台中給的養分，讓我接受了民主的洗鍊，也擁有了磨練城市治理的寶貴經驗。 2019年，我回到中央行政團隊，到交通部服務，儘管我們努力做了許多事，卻在我任內發生令國人心碎的太魯閣號列車事故，這是我從政生涯裡最難承受的傷痛。今後，不管是回頭望還是往前看，這個痛永遠不會消失，而是將成為我持續實踐參政與推動改革的決心。 政治永遠是影響人民生活最大的本源。我積極爭取參選台北市長的機會，並非僅僅因為我來自台北，而是在我擔任台中市長時，曾積極促進縣市合併升格及升級，推動成立中彰投苗治理平台，不分藍綠，落實周邊城市聯合治理，人民共好。我從「跨域治理」與「數位治理」的思維出發，聚焦以台北為中心的首都圈治理研究，同時積極表達參選意願，是希望能夠帶動首都生活圏的整體升級及近千萬人民的更大福祉！ 今天，非常感謝蔡英文 Tsai Ing-wen主席及黨內同志，支持佳龍所推出的北台灣首都圈願景，並且認為雙北雙箭頭能同步帶動首都圈治理，促進北北基桃的繁榮與進步，而新北市的人口最多，其行政區域範圍更為龐大，正需要佳龍結合過去的治理經驗，才能加速發動北台灣的發展引擎。 我的一生都在磨劍，我的價值理想，執著甚至頑固，戰場在哪，我就在哪！ 號角響起，我們揮劍出征！ 決戰雙北，與陳時中部長並肩作戰！ 為大台北首都圏而戰！為台灣人民而戰！,,,,,,,,,11.08
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,687803,668154,2022-07-12 20:34:02 CST,2022-07-12,20:34:02,Photo,"18,058",16529,805,177,79,0,14,0,10,444,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/590548422437299,今天佳龍出席民進黨新北市黨部第七屆主委與執評委的交接就職典禮，現場還有許多民進黨新北市立委、議員及參選人到場見證。首先我要恭喜何博文主委，這個位置很辛苦，尤其面臨即將到來的年底地方大選，還需要何博文主委帶領新北市黨部與所有參選人一起打拼！ 新北市作為大台北首都圈的樞紐，人口將近四百萬，對首都圈，甚至是台灣的發展，都動見觀瞻。感謝蔡英文 Tsai Ing-wen總統的肯定，希望佳龍出戰最具挑戰性的新北市，佳龍一定會加倍努力不負所託。今天是選戰倒數137天，民進黨在新北市剛好提名1+37個市議員候選人，我們會團結一致，展現民進黨新北隊最強的戰力，一起贏得為新北市民服務的機會。 國民黨在新北市執政16年，根據民調顯示，六都之中，新北市民幸福感與光榮感只排名第四，是後段班。我們也發現，新北市雖已升格直轄市多年，但市政始終沒有升級。佳龍在交通部長任內，整合大台北首都圈的軌道路網，加速推動多項新北市的重大建設。而與台灣智庫提出的Taipei plus政策論述，則是以跨域治理、數位治理的方法，打破都市的本位主義，整體規劃首都圈的發展，我們要以此來推動新北市的發展。侯友宜市長該做卻沒有辦法做好的事，我來擔！ 我在準備，有信心、有把握打贏這場選戰，未來，新北市將串連起大台北首都圈，帶動首都圈共好！ #雙北雙贏 蘇巧慧 賴品妤 林淑芬 吳秉叡 余天 Yu Tian 張宏陸 羅致政粉絲團 立法委員 江永昌 吳琪銘 何博文 Ho Po-wen 陳啟能 新北市議員鄭宇恩 彭莉惠 新北市議員~賴秋媚 李宇翔 新北市議員 鍾宏仁 何淑峰議員 林秉宥 翁震州 彭佳芸 新北市議員 李余典 李倩萍 新北市議員 ＃邱婷蔚 顏蔚慈 戴瑋姍 新北市議員黃俊哲 山田摩衣 黃淑君 板橋 石一佑 - 小佑子粉絲團 張志豪 中和發言人 張維倩 張嘉玲 ＃羅文崇 許昭興 廖宜琨（Kevin） 林銘仁 新北市議員 彭一書 高乃芸 曾進益 卓冠廷 新北市議員 陳永福 陳乃瑜 美人瑜媽媽 林裔綺 新北市議員周雅玲 新北市議員張錦豪 李坤城 新北市議員 蘇錦雄 Paylang Caya,https://www.facebook.com/photo.php?fbid=590551449103663&set=a.253069669518511&type=3,,,Photos from 林佳龍's post,,,,,3.42
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688117,668482,2022-07-13 11:28:31 CST,2022-07-13,11:28:31,Photo,"6,650",6055,136,44,156,11,2,190,1,55,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/591024192389722,人間國寶楊秀卿老師，老菩薩一路好走。 出席楊秀卿老師告別式，文化部長李永得代表蔡英文總統頒發總統褒揚令。這一幕，讓人鼻酸。 楊秀卿老師是台灣唸歌説唱文化的國寶，她一生奮鬥的精神令人感佩。我們謝謝楊老師用唸歌唸出台灣的故事，唱出台灣的聲音，我們將永遠懷念。 楊秀卿老師，您是人間至寶，羽化成仙，願您一路好走。,https://www.facebook.com/photo.php?fbid=591022832389858&set=a.253069662851845&type=3,,,Photos from 林佳龍's post,,,,,1.26
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688117,668482,2022-07-13 14:34:23 CST,2022-07-13,14:34:23,Live Video Complete,"2,798",2416,169,47,49,0,5,2,12,98,crosspost,No,10117,10471,102870,00:29:04,https://www.facebook.com/100044464388138/posts/537149308140688,雙北正式提名！ 時中、佳龍一起拚！ 大家午安！今天民進黨中執會正式通過2022年台北市、新北市的提名人選，黨主席蔡英文與秘書長林錫耀正在召開記者會，向大家推薦參選人： ✨台北市長被提名人 陳時中 ✨新北市長被提名人 林佳龍 雙北雙箭頭、攜手向前走，請大家一起分享給親朋好友，相挺陳時中、林佳龍！,https://www.facebook.com/forpeople/videos/537149308140688/,,,2022民主進步黨 台北、新北市長提名記者會,,,,,-2
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688117,668482,2022-07-13 16:41:10 CST,2022-07-13,16:41:10,Photo,"25,145",21605,1148,256,163,4,63,8,23,1875,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/591175012374640,新的新北認同！ 新北市的志氣！ 今天佳龍獲得民進黨正式徵召提名，代表民進黨參選新北市長，民主選舉，每一回我們都在締造歷史，能夠參與新的歷史，佳龍備感榮耀。謝謝蔡英文主席、選對會、還有全體黨員的信任，我將承擔，準備出征，我將凱旋勝利！ 新北市是台灣第一大城，有超過400萬的人口，這400萬人口，有許多是來自不同縣市，從外地來北部打拼的子弟，包括我的家鄉雲林。新北從過去的台北縣升格後，正在形塑＜新的新北認同＞，這樣的認同，必須建立在新的驕傲、新的文化、還有全新的志氣上。 新！就是一個符號，首都圈願景將以雙北雙箭頭，互相牽引，互相競爭，然後創造北北基桃共好的目標，讓北台灣1000萬人口在這樣的願景裡，創造幸福的未來。 新北市的發展缺少的不是地理條件、也不是人文素養。各位知道新北缺少的是什麼嗎？是一份具備雄心壯志的建設藍圖，還有一位有雄心壯志的市長。 沒有錯，過去我曾經爭取選台北市長，因為我認為台北市是驅動北台灣發展的關鍵城市，很可惜，這幾年功能耗弱，許多建設跟城市的品質也被其它亞洲城市不斷超前。一個市長應該有夢想，雙北市長應該要做同一個夢，一個要讓北台灣人口能夠一起幸福的夢。我過去以台北做樞紐來思考北台灣願景，現在黨既然徵召佳龍參選新北市長，那麼佳龍將帶著更大的動力，要讓新北超越台北！ 我要非常感謝曾經選過新北市長的 蔡英文 Tsai Ing-wen 總統，我要感謝蔡英文總統的信任還有託付，即便我是這麼難搞，您還是帶著信心把這個重擔交給我。這就是民進黨的精神，因為我們有共同的目標，所以我們永遠能團結為台灣，尋找為台灣人民做事的機會。謝謝蔡英文總統的信任！ 新北市有山有水，北邊有東北海岸的無敵海景，南邊有雪山山脈的高山與森林。東邊是一望無際的太平洋，西邊緊鄰著航向世界的桃園國際機場和台北國際商港。放眼世界，所有的高科技產業都會選擇落腳於風景優美、交通便利、宜居生活的城市。因為年輕人追求的不僅只是高薪，也包括良好的生活環境與隨手可得的戶外活動，新北市有這樣的條件。 未來，新北市的新市區要規劃開發，舊市區要翻新改造。新北市長必須要注重美感，在都市的規劃藍圖裡，重視文化的發展，重視生活的品質，重視市民的福利，重視國際的交流。＜新的新北認同＞要創造的就是新的驕傲、新的文化、還有全新的志氣，這也就是「新北市的志氣」！ 首都圈願景的12門課，還少了第13門課，那就是新北要選出願意做夢，願意做事，勇敢承擔的新新北市長！ 林佳龍是做事的人，號角響起，我接受民進黨徵召提名，競選新北市市長。侯友宜市長，請接下我的戰帖！ 我們期待新北市： #產業大振興 #建設大翻新 2022決戰新北！ #雙北雙贏，也祝福 陳時中 部長高票當選台北市長！,https://www.facebook.com/photo.php?fbid=591173439041464&set=a.253069662851845&type=3,,,,,,,,4.76
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688117,668482,2022-07-13 21:12:50 CST,2022-07-13,21:12:50,Photo,"10,641",9699,490,151,47,0,7,1,6,240,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/591321842359957,決戰新北！ 競選總部發言人何博文 Ho Po-wen、李坤城 新北市議員就戰鬥位！,https://www.facebook.com/photo.php?fbid=591320735693401&set=a.253069662851845&type=3,,,,,,,,2.01
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688681,669069,2022-07-14 18:13:15 CST,2022-07-14,18:13:15,Photo,"10,328",9515,217,111,183,3,3,207,1,88,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/591941285631346,「安倍首相安息 　 邁向正常國家 你我共同夢想 台日友誼 以此為念 林佳龍 2022.7.14」 　 今天佳龍前往日本台灣交流協會向安倍晉三前首相弔唁，留下這段話。 　 看著安倍首相的照片，心中依然非常難過與不捨。安倍首相是台灣人的老朋友也是永遠的摯友。 　 認識安倍首相已經超過20年，他是戰後日本最具時代精神的偉大政治家，安倍首相生前對台灣的種種支持，不僅獲得台灣人民的情感認同，也拉近台日兩國之間的距離。他曾說「台灣有事等同於日本有事，更是日美同盟有事」。其實對台灣來說，「日本有事，也是台灣有事」。日本發生如此不幸的事件，台灣人民也是同感悲慟。 　 安倍首相生前持續為日本修憲努力，也為此走上街頭宣講、犧牲。即使卸任，他仍持續為日本邁向正常國家而努力，他的犧牲也許反而加速催生日本新憲。台灣與日本有共同的命運，二戰結束後，我們都各自產生了不正常的憲法。不管是台灣還是日本，邁向國家正常化，是我們共同的夢想，台日友誼，當以此為念。 　 請安息，我們敬愛的安倍晉三首相。 　 #台日友誼永久長存,https://www.facebook.com/photo.php?fbid=591940025631472&set=a.253069662851845&type=3,,,Photos from 林佳龍's post,,,,,1.95
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688834,669219,2022-07-15 12:11:49 CST,2022-07-15,12:11:49,Photo,"8,363",7893,195,122,43,7,13,1,2,87,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/592457872246354,林佳龍聊凍卵，你敢聽嗎？ Sandra以過來人的身份，怎麼看凍卵補助？ 一起來了解！ - #阿龍開港EP3 凍卵不只是女人的事，而是國家大事！ 《阿龍開港》來到第三集，這次邀請到節目開播以來的第一位女性來賓Sandra✨ Sandra是阿龍以前在交通部的同事，是一位非～～～常專業優良的口譯，她還是 妮可醬 樂團主唱，再斜槓網路節目Amazing Talk Show 驚奇玩起來主持人，跟我一樣很會找事做😅。 前陣子她在個人臉書分享凍卵的歷程，其實凍卵這類關於性的議題，對台灣社會傳統思想而言，傳統上是大家不敢碰觸的一塊，我在首都圈政策中大膽提出生育政策，祭出補助減輕女性壓力，未來也會落實在新北市的政策。 歡迎大家一起來聽聽阿龍和Sandra談凍卵，要讓女性在生育規劃上更自由！ Apple Podcast、Spotify、KKBOX三大平台都聽得到，歡迎大家收聽喔🤗 - 🐲本集開港重點 ☻ 身體自主權人人都應該享有，生育夢想並不遙遠。 ☻ Sandra 大駕光臨跟聽眾聊聊凍卵的檢驗流程。 ☻ 你是成家立業派，還是立業成家派呢？聽聽之後再慢慢做選擇，也許你可以都要。 - 收聽網址👇 🎧Apple https://pse.is/4bdmec:=:https://podcasts.apple.com/tw/podcast/ep3-%E5%87%8D%E5%8D%B5%E4%B8%8D%E5%8F%AA%E6%98%AF%E5%A5%B3%E4%BA%BA%E7%9A%84%E4%BA%8B-%E8%80%8C%E6%98%AF%E5%9C%8B%E5%AE%B6%E5%A4%A7%E4%BA%8B-ft-sandra/id1631742165?i=1000569751238 🎧Spotify https://pse.is/4ah6nc:=:https://open.spotify.com/episode/5dIAOaOmjsfobIWNLAUe6v 🎧KKBOX https://pse.is/48x2br:=:https://podcast.kkbox.com/tw/episode/_a1LovbXD5oGpSzTnO,https://www.facebook.com/photo.php?fbid=592455815579893&set=a.253069662851845&type=3,,,,,,,,1.58
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688976,669358,2022-07-16 11:38:01 CST,2022-07-16,11:38:01,Link,"8,426",7238,346,53,43,2,19,0,3,722,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/593127458846062,接受徵召參選以來，佳龍收到好多鼓勵和支持。 想説聲「謝謝」，我會全力以赴，爭取最後勝利！ 我相信： 勇敢自信，世界同行。 真誠行動，如願成真。 Be brave and self-confident and then the world will go with you. Be sincere and active and you'll make it as you wish ！ 感謝有您，與我同行！ 也附上今天自由時報「官你什麼事」的專訪，與您分享： 林佳龍透露，蔡總統認為年底的選舉有一個很重要的目標，像他這種中壯代、學運世代的人都要上場，大家能在選舉中團結，未來新生代也要接棒。 ,https://news.ltn.com.tw/amp/news/politics/paper/1528810,https://news.ltn.com.tw/news/politics/paper/1528810,,自由時報「官我什麼事」專訪》林佳龍：蔡總統視我為活棋 盼中壯團結接棒 - 政治 - 自由時報電子報,民進黨徵召無任所大使林佳龍參選新北市長，但林一開始是爭取參選台北市長，轉折的過程受到外界矚目，林佳龍接受自由時報「官我什麼事」節目專訪時表示，蔡英文總統視他為活棋，沒有設定一定選台北市或新北市，並以黨...,,,,3.06
林佳龍,forpeople,100044464388138,POLITICIAN,TW,"Lin, Chia-lung　新北市長候選人
​
這次選戰，佳龍提出「新北大翻新」作為競選精神與城市展望，透過「新北大翻新」的競選主軸，我們要推動「新的新北認同」，展現打造進步城市的雄心壯志。​",2011-02-19 07:21:29,688976,669358,2022-07-16 13:38:39 CST,2022-07-16,13:38:39,Photo,"29,197",25281,1159,523,147,10,46,5,11,2015,,-,0,0,0,N/A,https://www.facebook.com/100044464388138/posts/593185955506879,新北大翻新！市民一起贏！ 明天就是民進黨召開全國黨代表大會的日子，我會在當天和所有民進黨的縣市首長會合，一起宣誓要打贏這場2022關鍵的選戰。「 新北大翻新」就是贏的動力！也是我們這次競選的Slogan！ 我知道，在很多人心中，認為新北這場仗並不好打，但從宣佈徵召到現在，佳龍收到許多來自基層的熱情，不管是社群上的留言還是私訊，都有許多市民朋友告訴我，他們對這場選舉唯一的想法，就是：「新北一定要翻轉！」 翻新就是從升格到升級！ 翻新也是從在地到國際！ #新北大翻新 「新北大翻新」，用台語唸就是「新北大翻身」新北從台北縣升格到新北市，還有許多軟硬體建設尚未升級，也尚未將成為國際大城的能量爆發而出！ 新北市長要有雄心壯志，更要設定讓新北超越台北的目標，成為台灣新都，名符其實的台灣第一大城。這是我們可以與市民朋友一起規劃的未來藍圖。帶著新北市的志氣，當我們一起形塑＜新的新北認同＞，將會迎來新的驕傲、新的文化，新的自我。 #新北大翻新 我將努力讓新北市的潛力甦醒。以更大格局的政策視野，驅動首都圈的大升級。未來，我也會陸續提出流域大治理、產業大振興、交通大順暢、社福大溫暖、智慧大未來等重大政策願景，向各界請益。 我也要邀請這次與我共同作戰的市民朋友們，以及我們的立委、議員夥伴，在社群上說出你們對於「新北大翻新」的期待。 每一個期待，都將是未來我們翻轉城市未來的動力，每一個建議，都是我們重要的指引。 這是我們共同作戰的第一個行動，接下來的選戰裡，我們會讓所有新北市民和台灣人民看到，民進黨將以團結無私的精神，共同作戰，對決同床異夢的國民黨與侯友宜，徹底翻轉新北市。 因為這座有著400萬人夢想的城市，值得翻新、值得更好。讓我們一起迎接新人、新政、新氣象，新北、新都、新時代的來臨！,https://www.facebook.com/photo.php?fbid=593185545506920&set=a.253069662851845&type=3,,,,,,,,5.52
