Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,316471,331062,2022-11-28 13:59:51 CST,2022-11-28,13:59:51,Live Video Complete,"16,429",10518,4464,247,1024,5,19,10,20,122,owned,Yes,69060,71436,0,03:13:07,https://www.facebook.com/100044398990795/posts/938650987510989,【無限台北 感謝無限】車隊掃街直播中 14：00 —— 台北12區－Part3 南港、內湖、士林、北投 台北隊的朋友們 謝謝你們對萬安的支持！ ＃路線 佛光山台北道場（松山路側）→市民大道→中坡北路→中坡南路49巷→玉成街190巷→玉成街→成福路→東新街→玉成街→忠孝東路→向陽路→南港路→南港路277巷→【南港區後援會】→興中路→南港路→三重路→南湖大橋→康寧路三段→成功路五段→文德路→【內湖區後援會】→自強隧道→至善路→福林路→【士林區後援會】→文林路→基河路→大南路→承德路四段→華齡街→大南路→福港街→中正路→百齡橋→延平北路六段→永平街→社中街→社正路→延平北路六段→葫東街→重慶北路四段→百齡橋→中正路→雨農路→至誠路一段→雨聲街→陽明醫院→忠義街→德行東路→東山路→士東路→中山北路六段→克強路→磺溪街→德行西路→文林路→【汪志冰服務處】→明德路→振興街→石牌路二段→裕民一路→裕民二路49巷→懷德街→東華街一段400巷→東華街一段→公館路→光明路→中央南路一段→崇仁路一段→公館路→西安街二段→立農街一段413巷→吉利街→尊賢街→實踐街→致遠二路→致遠一路二段→自強街→西安街一段→明德路→文林北路→【北投區後援會】 ♾你加台北就是無限,https://www.facebook.com/chiangwanan/videos/938650987510989/,,,【無限台北 感謝無限】萬安謝謝大家的支持 —— #南港、#內湖、#士林、#北投,,,,,1.69
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,316471,331062,2022-11-28 09:01:09 CST,2022-11-28,09:01:09,Live Video Complete,"18,360",12055,4800,235,1091,6,24,9,25,115,crosspost,Yes,83778,85519,89055,03:10:55,https://www.facebook.com/100044398990795/posts/809116450177723,【無限台北 感謝無限】車隊掃街直播中 09：00 —— 台北12區－Part2 大安、文山、信義、松山 台北隊的朋友們 謝謝你們對萬安的支持！ 【市民基地】→新生南路→信義路→通化街→樂利路→和平東路→師大路→羅斯福路→興隆路一段→景興路→景中街→羅斯福路六段→景隆街→興隆路二段→木柵路→保儀路→木新路→辛亥路→辛亥路三段157巷→信安街→吳興街220巷59弄→吳興街220巷→莊敬路391巷11弄→【陳永德議員服務處】→松仁路→莊敬路→信義路五段→松山路→永吉路→松信路→松隆路→松山路→八德路四段→長安東路二段→復興北路→民生東路三段→光復北路→富錦街→新東街→民生東路五段→新中街→延壽街→健康路35巷→光復北路190巷→健康路15巷→健康路→南京東路四段→南京東路五段→東興路→永吉路→松隆路→永吉路30巷→忠孝東路四段→松山路→慈祐宮 ♾你加台北就是無限,https://www.facebook.com/chiangwanan/videos/809116450177723/,,,【無限台北 感謝無限】萬安謝謝大家的支持 —— #大安、#文山、#信義、#松山,,,,,1.89
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,312147,326599,2022-11-27 18:33:50 CST,2022-11-27,18:33:50,Native Video,"24,592",21764,1693,479,386,8,9,3,18,232,owned,Yes,154870,158287,0,00:03:00,https://www.facebook.com/100044398990795/posts/690298849126742,🎥影片：勝選之夜給市民的一段話 昨晚是選舉的結束，也是責任的開始，謝謝市民朋友把台北託付給我。 我們用影片紀錄1126這一天民意所展現的動人力量，然後正式宣佈，＃臺北隊上工了！,https://www.facebook.com/chiangwanan/videos/520109016846330/,,,台北隊，上工了！,,,,,6.07
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,312147,326599,2022-11-27 14:01:43 CST,2022-11-27,14:01:43,Live Video Complete,"26,965",16769,7704,595,1672,8,33,12,33,139,crosspost,Yes,102192,110317,112829,03:20:19,https://www.facebook.com/100044398990795/posts/876961356647515,🎥【無限台北 感謝無限】車隊掃街直播中 14：00 —— 台北12區－Part1 台北隊的朋友們 謝謝你們對萬安的支持！ #路線 【市民基地】→新生南路→羅斯福路四段→汀州路三段→南海路→和平西路二段→中華路二段→忠孝西路一段→公園路→青島東路→紹興南街→丹陽街→杭州南路一段→忠孝東路一段→忠孝東路二段134巷→濟南路二段→金山南路一段→和平西路一段→南海路→中華路二段→青年路→萬大路423巷→萬大路→西藏路→中華路二段→民和街→東園街→寶興街→西藏路→環河南路二段→廣州街→康定路→萬大路→西藏路→西園路二段→桂林路→環河南路二段→忠孝西路→西寧南路→漢口街二段→中華路一段→南京西路→民樂街→民生西路→重慶北路→南京西路→延平北路→民族西路→林森北路→民權東路→中原街→民生東路→吉林路→民族東路→新生北高架→北安路→通北街→北安路→樂群二路→敬業三路→樂群三路→北安路→大直橋→復興北路→興安街→龍江路→長春路→吉林路→民生東路→松江路→【市民基地】 #你加台北就是無限 #蔣萬安,https://www.facebook.com/chiangwanan/videos/876961356647515/,,,【無限台北 感謝無限】萬安謝謝大家的支持 —— #中正 #萬華 #中山 #大同,,,,,2.77
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,312147,326599,2022-11-27 13:51:18 CST,2022-11-27,13:51:18,Photo,"28,189",26734,871,121,313,8,6,1,7,128,,-,0,0,0,N/A,https://www.facebook.com/100044398990795/posts/690109972478963,選後第一天、第一個行程，前往市民基地參加「#志工感恩早餐會」 幾個月來，我的志工夥伴分布在各個服務處，幫我接待市民、發放文宣、街頭助講、電話拜票；每一位都沒日沒夜的為台北焦慮、也為我操心。 每次遇到選情波折，志工們就會更自發、更努力的為我拉票；風雨沒有吹散我們的隊伍，反而讓大家互相依靠，心更暖也更近。 我幫大家準備的早餐是一杯豆漿，跟印有台北萬安字樣的小點心，謝謝他們一起努力，讓今天的台北放晴。 #下午車掃謝票中正萬華中山大同 #路線圖請見留言區,https://www.facebook.com/photo.php?fbid=690109445812349&set=a.260821152074516&type=3,,,Photos from 蔣萬安's post,,,,,2
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,307289,321552,2022-11-26 22:49:32 CST,2022-11-26,22:49:32,Photo,"67,095",59177,5891,532,909,8,26,6,35,511,,-,0,0,0,N/A,https://www.facebook.com/100044398990795/posts/689634512526509,【謝謝市民朋友的支持，我會撐起台北的未來】 謝謝所有市民朋友，把台北未來的四年交給我；我會如履薄冰、戰戰兢兢，全力以赴，永不自滿。 這麼美麗的家鄉、這麼有魅力的城市，讓我想要趕快實踐對台北的願景；如今，台北終於要啟動了，按下啟動鈕的，就是全體市民，讓曙光穿透了黑暗，溫暖了台北。 我用雙腳走過的足跡、汗水滴下的印記、還有和市民互動所留下的溫度，展現了我領航台北的信心、決心與誠心。 對台北的使命、對土地的情懷、還有所有市民對我的期待與信任，是我最重要的初心與後盾，而你們的陪伴與相挺，更是我奮戰到最後一刻的原動力。 台北光榮的篇章，今天又再翻過一頁，未來，不分藍綠白、不分你我他，一起在台北共生共榮、築夢開創、實踐自我。 我要再次感謝每一位台北市民，我相信，因為有你們，台北的未來，一定會是一座沒有極限，不斷超越的偉大城市！,https://www.facebook.com/photo.php?fbid=689634079193219&set=a.260821152074516&type=3,,,,,,,,4.76
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,307289,321552,2022-11-26 16:37:56 CST,2022-11-26,16:37:56,YouTube,"21,535",17577,3046,118,341,4,5,2,18,424,,-,0,0,0,N/A,https://www.facebook.com/100044398990795/posts/689397625883531,🎥直播【台北開票之夜】 各位市民關心的2022地方大選結果即將揭曉，歡迎大家等一下一起齊聚「市民基地」，共同見證民主的力量！ 時間：11/26(六)16:30開始 地點：台北市新生南路一段124號 https://youtu.be/LoTj4Xk_LU0:=:https://www.youtube.com/watch?v=LoTj4Xk_LU0 歡迎一起參與！,https://youtu.be/LoTj4Xk_LU0,https://www.youtube.com/watch?v=LoTj4Xk_LU0,,【蔣萬安 ·台北開票之夜 】,,,,,6.9
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,307289,321552,2022-11-26 10:47:03 CST,2022-11-26,10:47:03,Photo,"13,483",12128,960,70,184,2,5,2,10,122,,-,0,0,0,N/A,https://www.facebook.com/100044398990795/posts/689228129233814,今天上午，我已經投下手中神聖一票，您也準備好出門投票了嗎？ 民主社會的每一票都很關鍵，每一票都會影響台北的未來！ 趕快準備好投票三寶，邁向投開票所，展現民主力量吧！ #身分證 #印章 #投票通知單 #謝謝辛苦的選務人員,https://www.facebook.com/photo.php?fbid=689227645900529&set=a.260821152074516&type=3,,,,,,,,-1.04
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,306128,320368,2022-11-25 23:29:41 CST,2022-11-25,23:29:41,Photo,"15,441",13955,702,103,218,2,4,1,11,445,,-,0,0,0,N/A,https://www.facebook.com/100044398990795/posts/688900669266560,謝謝所有熱情的好朋友，我也愛大家！ 有你們永不疲累的支持，我，蔣萬安才能一直走到現在，我相信，我更可以走向未來。我也相信明天之後，我還可以走進台北市政府，為所有台北市民服務！ 台灣民主政治的選舉，本來就是一場馬拉松，要長途的跑，才能看出一個候選人的品質。 我不怕累、不怕跑選舉的馬拉松，因為我非常珍惜這個機會，我珍惜這個民主體制，所以我們要堅定捍衛台灣的自由民主，捍衛中華民國的存在。 我是蔣萬安，台北市長參選人6號。 我這一生，都會捍衛台灣的民主政治、捍衛中華民國的存在。 我若在明天得到台北市民的支持，進入台北市政府，市政府的大門將會永遠為市民朋友而敞開！ 我很有自信也很有信心，我是三組主要的市長參選人中，最國際化的一位；而我的心，將全面擁抱台北、擁抱市民，不分黨派，不分族群，不分性別，讓我們從明天的勝選開始，迎接台北嶄新的未來。 各位，我是蔣萬安，我準備好了！ 讓我們贏回台北的團結，贏回台北的驕傲，贏回台北的希望，贏回台北迎向未來的智慧與勇氣。 明天我們相約風雨無阻，一定要去投票！ 謝謝所有台北隊的成員！ #6號蔣萬安 #1126改變台北的未來,https://www.facebook.com/photo.php?fbid=689437512546209&set=a.260821152074516&type=3,,,Photos from 蔣萬安's post,,,,,1.11
蔣萬安,chiangwanan,100044398990795,PERSON,TW,"為了想再多做點什麼，一路走到現在
服務對象從一個團體到二個行政區
接下來，我會用心服務整座城市！",2015-03-31 13:05:48,306128,320368,2022-11-25 22:54:54 CST,2022-11-25,22:54:54,Live Video Complete,"50,069",41398,4982,622,2406,12,26,15,45,563,owned,Yes,345526,353127,0,00:03:06,https://www.facebook.com/100044398990795/posts/5193011267470272,🎥直播 選前最後一天，我們夫妻想跟所有市民朋友說說話！,https://www.facebook.com/chiangwanan/videos/5193011267470272/,,,,,,,,5.15
