Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,264090,258878,2022-08-28 09:19:38 CST,2022-08-28,09:19:38,Live Video Complete,"11,591",8351,2022,308,675,3,7,6,18,201,owned,Yes,42388,45769,0,00:58:30,https://www.facebook.com/100044528885416/posts/459531682854037,今天，我正式宣布投入台北市長競選活動！​ ​ 記者會中，我將闡述「台北未來進行式」發展大戰略與參選理念，並公布選戰主軸、主視覺及競選團隊，誠摯邀請大家一同觀看直播，參與我人生中重要的時刻！​ ​ 台北市民在2014年推倒藍、綠對立的高牆，造就了台北市的進步價值，我期待在2022年，能繼續延續這股力量，邀請所有市民朋友與我站在一起、並肩作戰，讓市政回歸市政，不讓藍綠支配擺布，推進台北市政發展！​ ​ #TaipeiK33PGoing​ #偉大市民齊步共贏​ #黃珊珊,https://www.facebook.com/taipei33/videos/459531682854037/,,,黃珊珊參選台北市長記者會【LIVE】,,,,,2.98
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,264090,258878,2022-08-28 13:22:41 CST,2022-08-28,13:22:41,Native Video,"9,047",7921,516,319,139,2,3,0,5,142,owned,Yes,20413,24908,0,00:02:15,https://www.facebook.com/100044528885416/posts/612129493614675,各位市民朋友，各位現場貴賓，大家好，我是黃珊珊。​ ​ 有句成語叫「姍姍來遲」，其實我只是最晚宣佈，但我相信，在這場選戰中，我是所有候選人當中，準備最早，也是準備最充份的人。​ ​ 我已經準備了24年，對於這個城市的熟悉與熱愛，讓我可以立即上手、無縫接軌。台北，必須持續前進，我準備好了。​ ​ 【如果還有明天】​ ​ 我想起，七年前2015年1月6日晚上六點左右，我在家裡倒下。再度恢復意識的時候，已經躺在加護病房裡了。當時我的腦海裡，不由自主地迴盪著那首歌：「如果還有明天，你想怎樣裝扮你的臉....」。​ ​ 當時我沒有恐懼，因為我的生命歷程已經非常精彩，可是心中不免還是有些遺憾，牽掛著13歲的兒子和85歲的母親，還有跟了我至少二十年的助理們。我還有很多想做的事，還有很多想說的話，我告訴自己：如果還有明天，我一定要好好照顧自己的身體，一定要用笑容面對這個世界，一定要竭盡所能把身邊所有的人都照顧得更好。​ ​ 〈To Do List〉​ ​ 離開加護病房時，醫生告訴我：「真的只差一點點，妳就再也醒不過來了」。這一場讓我差點醒不過來的病，我列出兩個表重新檢視自己的人生：一個是想做的事（To Do List），另一個是再也不想做的事（Not To Do List）。​ ​ 人生無常，想要做的事情要趕快做，不想再做的事情，就要一件一件的刪除掉！​ ​ 現在，我很開心已經把Not To Do List上面的事情全部都刪光了！而To Do List的項目愈來愈多，每天還在持續增加中，所以，我把每一天都當最後一天，認真活、拚命做。​ ​ 〈無畏〉​ ​ 2019年10月，柯文哲市長邀請我到市政府工作，他說想好好培養人才，因為「勤政制度」建立不易、「廉能文化」養成困難，人才需要時間學習，他想建立的是，可長可久的制度，他的誠意打動了我，我決定每天早上7:30跟他一起嗡嗡嗡。​ ​ 剛經歷過生死關卡的我，其實已經無所畏懼，我十分興奮地接下這個艱鉅的任務，謝謝柯市長的無私信任，放手讓我發揮所長，才能得到市民的肯定，這兩年多的副市長任期是我人生中最累、最辛苦、壓力最大，但也是最光榮、最驕傲的時刻。​ ​ 謝謝柯文哲市長，謝謝你的獨特眼光，謝謝你相信我，謝謝你也讓我相信世界上「沒有什麼不 可能的事」。​ ​ 從那天起，「參選台北市長」的選項就列入To Do List。我每天都問自己「Why ＆ What？」，為什麼要參選市長？想要為台北市做些什麼？​ ​ 上帝關了一扇門，又開了另一扇窗，我帶著誠惶誠恐的心情進入台北市政府，這兩年十個月，我相信，我應該沒有辜負市長和市民的期待吧。​ ​ 「勤政、廉能」是台北新價值，也是我的信仰，更是我每天身體力行的行動，打造乾淨透明、公平正義的台北市，是我一生的志業。​ ​ 所以，我站出來，參選台北市長。​ ​ 〈擺脫藍綠惡鬥〉​ ​ 推倒藍綠的高牆，只有台北做得到。八年前，台北市民做到了。但是現在，藍綠兩黨依舊相互杯葛、互貼標籤，我想問：大家對於長年以來，藍綠操弄意識形態，不問是非對錯的作為厭倦了嗎？非藍即綠的政治惡鬥讓台灣停滯不前，你們受夠了嗎？​ ​ 推倒藍綠的高牆，不是黃珊珊參選就做得到，而是我們可以一起完成這件事，#擺脫藍綠惡鬥的最好方法 ，就是 「#讓黃珊珊當選」。​ ​ 2019年底，我進入台北市政府擔任副市長，市府首長有藍有綠，但在我們的心裡，台北市民的利益，早已超越了政黨利益。​ ​ 這幾年下來，我們做到了。台北市，正在往共融社會的目標逐步邁進，甚至，我們已經是聯合政府的型態，在台北市政府的團隊裡，不同黨派在一起工作，為市民謀福利，從沒有分過顏色，這是多麼可貴的團隊，市府團隊裡的每個人無私奉獻，讓這座城市持續前進，邁向國際。​ ​ 台北市要繼續前進，還是要走回過去藍綠惡鬥的老路？​ ​ 只想搞藍綠對決、或試圖搞棄保的政黨，都在侮辱台北市民的智慧！​ ​ 我深信，台北市，作為國家的首都，會從混亂的選舉口水中解脫；台北市民，會堅守住市民的精神認同，台北市民，一定會做出最正確的選擇。​ ​ 所以，我站出來，參選台北市長。​ ​ 〈台北，我的家〉​ ​ 我出生在台中、成長在高雄，從15歲就到台北市租房子唸北一女中，在這個城市落地生根，大學畢業23歲當律師、28歲在內湖南港區當選台北市議員，連任六屆，經歷21年民意代表生涯，這三年擔任台北市副市長，我跟著這個城市一起成長，從未遠離。台北，是我願意用生命捍衛的故鄉。​ ​ 二十多年來，我看到台北市的進步對台灣所帶來的影響，台北市是台灣進步價值的起源地。​ ​ 24年前台北市推動「垃圾費隨袋徵收」，仰賴全體市民的配合。20年前第一場同志大遊行、台北成為亞洲第一性別平權的首都城市。歷任市長任內推動捷運路網，市民忍受黑暗期，帶動首都生活圈。花博與世大運，讓世界看見台灣。U-bike、社會住宅，改變了市民的生活方式。​ 八年來，財政紀律、開放政府、公開透明、全民參與，從台北市引領風潮，一步步革新台灣的政治文化。​ ​ 台北之所以偉大，因為有一流的市民，與最優秀的公務員，首都市長正是掌舵者，引領方向與擘畫未來願景，因為，市政不能停機重開，台北必須持續前進。​ ​ 所以，我今天才會站在這裡，宣布參選台北市長。​ ​ 〈未來的挑戰〉​ ​ 台灣未來要面對極多挑戰，通貨膨脹、極端氣候、能源危機、大國之間的博弈、荒謬的戰爭，這些才是我們真正要對抗的敵人。​ ​ 我們面對的是能源短缺、產業轉型、分配不均、高齡少子、都市更新、疫情過後的新世界等等難題，不僅僅是台北，而是全台灣都要面對的挑戰。​ ​ 現在的執政黨，只想保住政權，近乎束手無策，我們沒有時間再等待，藍綠繼續惡鬥更是沒辦法解決這些問題的。​ ​ 各位市民朋友，未來的挑戰就近在眼前，過去八年我們已經改變台北，未來我們更要影響台灣。​ ​ 所以，我站出來參選台北市長。​ ​ 【Taipei K33P Going】​ ​ 「Taipei Keep Going」是我的競選主軸，讓台北持續前進，是我參選台北市長的原動力。​ ​ 兩年多前，柯市長傳來一封簡訊：「歡迎加入全台灣最辛苦的市政團隊。」從那時候開始，我穿梭在十幾個局處督導業務，投身數百場防疫會議，站在第一線日夜工作。跟我一起工作的市府團隊，才是最大的幕後功臣。​ ​ 台北市民能有現在的日常生活，是有一群人努力捍衛、全力運轉的成就。去年到現在兩波本土疫情爆發，台北市在第一時間設立社區篩檢站、防疫旅館、防疫車隊、車來速，快速控制疫情擴散，我們有酷課雲線上教學系統，在停課期間服務全台北、甚至全台灣的中小學生。​ ​ 即使處在最緊急的時刻，這座城市背後仍然有一群安靜、專注的人，盡最大努力，在最小影響的前提下，維持市民的生活品質。​ ​ 然而，成就一支傑出的市政團隊，是因爲背後有一群偉大的台北市民在支撐。台北市民的高水準，造就了這座城市的進步價值，市民在防疫期間，與市府團隊並肩作戰，共同守護這座城市。​ ​ 台北市民八年前拋下政黨色彩，願意給無黨無派的候選人與團隊兩次機會，在首都開創第三勢力的可能性，翻轉台灣長年下來，統獨與藍綠兩極對立的政治生態。​ ​ 這是一個多麼偉大的成就，在台北，政黨早已無法左右市民的意願，偉大市民早已讓台北繼續前進，而身為首都的台北市長，就應該拋下自身的意識形態與政黨利益，促進族群共融，帶領台北共贏。​ ​ 這就是我的參選主軸，「偉大市民，齊步共贏」。​ ​ 我想，在台北生活過的人都會同意，八年來，市民主義的抬頭，取代過往藍綠惡鬥的意識形態對決，才是台北令人光榮、令人驕傲的原因。​ ​ 【沒有不可能】​ ​ 最後，再次感謝今天現場這麼多好朋友給我的支持與愛護。​ ​ 我是一個經歷過生死的人，現在的一切，對我來說都是上天給我的新生命，我其實是個很叛逆的人，從小到大都在挑戰「不可能」，我會盡全力做好準備，我相信只要努力，就會化為可能。​ ​ 一位女性政治家曾經說過：「我從來沒有覺得做女人很難，相反地，我認為擁有男人沒有的東西，才更有力量」。作為女性政治人物，我認為我的優勢不在於性別，而是解決各種市政難題、與民眾溝通的過程中，有「耐心」包容，更有「決心」執行。​ ​ 過去兩年十個月，我擔任台北市防疫副指揮官，改革公共安全的機制、輔導市場攤販、參與智慧城市架構、執行財政紀律，還督導與市民生活息息相關的民政與社政，我也談判取回 #大巨蛋 的權利金，靠的就是耐心與決心。​ ​ 我十分認同柯市長說的，政治靠的是執行力，政治要落實在人民生活的每一天。台北市政沒有顏色，台北市政更沒有藍綠。多年來，中間選民決定台灣的未來，我深信，理性的台北市民會很清醒地做出正確的選擇，不會被意識形態矇住自己的眼睛。​ ​ 各位市民朋友，你也可以選擇做自己的主人。​ ​ 偉大市民，齊步共贏，Taipei Keep Going。我的政策主張，將回歸以市民為本，以科學為依據，以及專家意見與公民參與，來做為決策的依據，讓這座城市不斷繼續前進。​ ​ 為了接軌世界，迎接下一階段的挑戰，我們將提出「#台北未來進行式」的城市發展大戰略。我們將以柯市長東西區門戶計畫作為基礎，向南與向北延伸，成為東西南北均衡發展的「#首都進化雙軸線」。再結合環狀線，形成一個巨型的大輪軸，轉動台北市未來50年的發展，創造樂活的城市空間，打造國家未來產業戰略，更將是台北市設市百年的都市再生契機。​ ​ 我們將在9月1日召開記者會，正式公布政策主軸。​ 我是黃珊珊，從今天開始，我將正式投入競選活動，參選台北市長，謝謝大家！​ ​ #TaipeiK33PGoing​ #偉大市民齊步共贏​ #黃珊珊,https://www.facebook.com/taipei33/videos/545219720737403/,,,【黃珊珊台北市長參選宣言】推倒藍綠高牆，與偉大市民齊步共贏！｜TaipeiK33PGoing,,,,,2.26
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,264090,258878,2022-08-28 16:13:29 CST,2022-08-28,16:13:29,Photo,"9,519",8515,622,134,103,2,3,1,8,131,,-,0,0,0,N/A,https://www.facebook.com/100044528885416/posts/612256140268677,【111年臺北市市長擬參選人黃珊珊政治獻金專戶】​ ​ 這場選戰，我們沒有太多的支援，只能仰賴每位市民朋友的支持。​ ​ 這8年來，我們用實際行動，證明勤政的價值。我們藉眾人之力，實現城市軸線翻轉、市場改建。接下來，我將以「#首都進化雙軸線」，揭開台北改變的全新序幕。​ ​ 在這裡，我誠心地拜託市民朋友，我需要各位的協助，每一筆捐款，對我都是最珍貴的支持。我需要大家的力量，與我一同創造台北的新時代。​ ​ 讓我們一起攜手向前，再次打贏光榮的一仗。​ ​ -​ 111年臺北市市長擬參選人黃珊珊政治獻金專戶​ 郵政劃撥：50461045​ 網路跨行轉帳及ATM​ 郵局代碼：700​ 收款帳號：700-0010-5046-1045​ P.S.( 網路轉帳 週二 8/30 開通，官網 9/1上線 ) -​ ​ #TaipeiK33PGoing​ #偉大市民齊步共贏,https://www.facebook.com/photo.php?fbid=612353233592301&set=a.273109904183304&type=3,,,,,,,,1.75
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,264090,258878,2022-08-28 21:30:55 CST,2022-08-28,21:30:55,Native Video,"4,511",3963,232,143,88,1,15,0,4,65,crosspost,No,24850,26791,342144,00:13:58,https://www.facebook.com/100044528885416/posts/612425220251769,暫別用了將近3年的辦公室，其實心裡還是有些感傷 謝謝市長柯文哲 特別來關心我、幫我打氣 接下來，我會繼續拚 再回來和大家一起嗡嗡嗡！,https://www.facebook.com/taipei33/videos/1182936145601580/,,,黃珊珊卸公職忙打包 那一夜...她說了心裏話｜今晚我想來點真心話S2 EP04,,,,,1.13
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,265286,260077,2022-08-29 14:00:39 CST,2022-08-29,14:00:39,Native Video,"3,151",2886,118,69,41,2,1,0,0,34,owned,Yes,8804,9840,0,00:00:25,https://www.facebook.com/100044528885416/posts/612910820203209,TaipeiK33PGoing 的Logo動畫，大家還喜歡嗎？​ ​ 這是一場與所有市民一同前進的戰役，希望走出傳統藍綠對立，以城市治理為依歸，包容都市長遠規劃的智慧，因此採用柔和的色調與線條。我相信，顏色是一種美學，是一種公共財，不是任何政黨的專屬。​ ​ 因為偉大的市民們，才是這個城市的主角。​ ​ LOGO動畫的製作理念，則希望呈現台北的現代化與多元。因此，我們用電子音樂風格為基底，搭配原住民族的木琴、口簧琴以及二胡等在地元素，同時加上電子合成器、電吉他Solo與管弦樂團，大家可以依序聽到多種音樂元素的融合，以呈現台北市的多元文化。​ ​ 我們也使用了市民們最熟悉的聲音，那就是捷運的環境音。捷運的閉門聲、列車開動時加速與行進的聲音，希望讓大家有遊覽台北的感受。而最後的太鼓聲，則象徵眾人的智慧的凝聚，與偉大市民們，齊步共贏。​ ​ #TaipeiK33PGoing​ #偉大市民齊步共贏​ #黃珊珊,https://www.facebook.com/taipei33/videos/786026129483060/,,,【Logo動畫】偉大市民！齊步共贏！TaipeiK33PGoing！｜黃珊珊,,,,,-1.27
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,265286,260077,2022-08-29 15:45:37 CST,2022-08-29,15:45:37,Photo,"6,198",5629,280,145,69,2,4,1,4,64,,-,0,0,0,N/A,https://www.facebook.com/100044528885416/posts/613021376858820,撒幣無法解決居住問題，從人本關懷角度出發，才能提出負責任、可行的政策。​ ​ 我的母親高齡92歲，過去看著她上下樓時，我也是非常擔心。同樣的生活困境，相信大家都不陌生，因為老舊公寓大多沒有電梯，行動不便的長者若無人照顧，可能只能縮在家中蝸居，失去與外界連結的機會。​ ​ 老人有房，卻深陷「囚老」困境，住得並不快樂；同時，房價高漲讓年輕人苦於租金高漲。對此現狀，社宅降租不僅無法解決問題，反而會讓社宅無法長期營運，這種選票導向的口號，完全無視國家的長期永續發展。​ ​ 在疫情後，有大量的旅館急需轉型，只需要改裝提供完善設施，就能讓居住在老公寓的長輩承租，長輩原有的老宅，再透過包租代管轉租給青年。長輩賺得的租金收入，就能抵免旅館的租金，實現一個完整的政策循環。​ ​ 協助旅館轉型、長輩宜居慢老、增加租屋市場供給，這是一石三鳥的作法。同時，當長輩開始願意讓房子代管，不僅能保有所有權，也等待日後容積獎勵的紅利，提高長輩參與都更的意願，等同於加快老宅展開 #都市更新。​ ​ 這是台北市居住正義3.0的內容之一，強調「#高齡換屋」的原因。今天看到「 幸福久久窩 - 租屋託管首創品牌」的執行內容，我認為是未來可以大力推廣的方向，透過公私協力，一同實現居住正義。​ ​ 所有社會政策，最核心的關鍵是「人本關懷」與「永續經營」，這也是我最堅持的價值。只要設身處地為人設想，就不會只想用花錢來解決問題。​ ​ #TaipeiK33PGoing​ #居住正義,https://www.facebook.com/photo.php?fbid=613021163525508&set=a.273109904183304&type=3,,,Photos from 黃珊珊's post,,,,,1.14
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,265286,260077,2022-08-29 19:11:31 CST,2022-08-29,19:11:31,Live Video Complete,"1,137",1042,51,14,18,0,0,0,1,11,share,No,3244,10797,0,01:18:13,https://www.facebook.com/100044528885416/posts/613116033516021,很榮幸再次來到光芹姊的專訪節目！​ ​ 這一次來，我的角色是台北市長參選人，所有市民朋友都是我的面試官。市民們的疑問、時事與市政議題的現況，到這場選戰對全民的意義，我會向大家仔細報告我的想法。​ ​ 我等不及與大家分享我對台北市的願景，請大家今天一起來聽我跟光芹姊聊天配飯，謝謝大家！​ ​ （專訪YT連結置於留言處）​ ​ #黃珊珊​ #黃光芹 #新聞不芹菜,https://www.facebook.com/ShocktheG/videos/482242970071236/,,,震傳媒 Z.media,"【震傳媒｜新聞不芹菜】EP225｜珊珊來了！首都之戰看招！
😍高畫質直播連結：https://reurl.cc/3YX5Q9
到震傳媒YouTube頻道上觀看可以留言互動唷！

年底地方大選腳步持續逼近，選戰也正如火如荼地開打中，而台北市長候選人目前為三強鼎立態勢，其中現任北市副市長黃珊珊該怎麼走出藍綠夾擊、粉碎外界棄保質疑，並接下柯文哲8年執政的火炬，也成為各界關注焦點之一！
《新聞不芹菜》明日榮幸邀請到黃珊珊來到節目現場，分析對手蔣萬安、陳時中選情，同時針對辭職參選、疫苗爭議、大巨蛋、內科交通、阿扁棄保說、柯文哲選戰影響力等問題帶來最新的獨到見解！
另外，論文門事件、數位中介法、柬埔寨詐騙、台南弒警案、中共軍演以及夏立言訪中又會為年底選戰種下哪些關鍵因子？關注黃珊珊怎麼說的朋友們，千萬別錯過明天中午12點，由資深媒體人黃光芹主持的《新聞不芹菜》，將帶大家看首都之戰不再芹芹菜菜（台語：隨隨便便）！
🔊喜愛《震傳媒-新聞不芹菜》的好朋友們照過來！誠摯邀請您幫影片按👍、頻道訂閱、分享，同時開啟小鈴鐺🔔，也歡迎所有人踴躍在影片下方留言，大家的支持與回饋就是我們繼續做節目的動力唷！
#新聞不芹菜 #黃珊珊 #台北市長參選人 #柯文哲  #黃光芹
【直播連結】：https://reurl.cc/rRv1Z1
【訂閱頻道】：https://reurl.cc/a93xN7",,,,-3.43
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,265710,260503,2022-08-30 10:15:31 CST,2022-08-30,10:15:31,Photo,"4,590",4281,167,45,44,0,2,0,3,48,,-,0,0,0,N/A,https://www.facebook.com/100044528885416/posts/613573696803588,大同的市民朋友，周日我要來跟大家分享新書了！​ ​ 過去八年來，我們在大同做了許多努力。從西區門戶計畫讓北門重見天日；興建大龍峒、大橋頭與斯文里三期社宅，推動居住正義；重塑景觀休憩，讓建成圓環再生，進行大稻埕水岸整治，大同區的改變，未來將繼續向前行。​ ​ 作為台北最早發展的區域之一，大同一直是市政的優先項目。未來，捷運沿線的 #光鏈大道 ，也將為城北增添全新風貌。​ ​ 本周日這個簽書會，除了書中我個人的人生點滴，我也會與大家分享，過去大同推動的種種改變，以及我們的未來展望，朋友們，我們周日見！​ ​ 【簽書會活動資訊】​ ​ 大同場：​ 📌時間：9/4(日)上午9:30-11:30​ 📌地點：大同區歷史古蹟（大同區西寧北路65號）​ ​ #黃珊珊 #33個人生故事 #新書簽書會,https://www.facebook.com/photo.php?fbid=613573506803607&set=a.273109904183304&type=3,,,,,,,,-1.19
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,265710,260503,2022-08-30 12:05:52 CST,2022-08-30,12:05:52,Photo,"8,414",7659,422,77,85,1,6,1,3,160,,-,0,0,0,N/A,https://www.facebook.com/100044528885416/posts/613622683465356,參選後第一個掃街拜票行程，我回到從政的起點，港湖。​ ​ 碧山巖、湖光市場、737商圈，24年來我都在這裡穿梭，湖光市場離我的服務處只有三個巷口，以前法律服務也會在這擺攤，這裡就是我的家。​ ​ 還記得28歲的我，沒有家世背景、沒有資源，只有挺我的服務處夥伴，還有一個在總部寫功課的底迪 陳宥丞。我很感謝港湖的大家，給了一個菜鳥最大的鼓勵，讓我以第一高票當選，並連任六屆市議員。​ ​ 港湖的民眾，給了我很大的啟示：#天道酬勤。民眾不看家世血統，只看你勤不勤勞，所以24年來我不敢偷懶。能一步步走到現在，我最感謝的，還是這些陪著我日曬雨淋、一起往前走的夥伴。​ ​ 當年服務處的夥伴張大哥，聽到我要回來，把24年前的選戰外套「黃衫衫」交到我手上。湖光市場的攤商朋友，竟然還珍藏著我十年前的競選便條紙，以及八年前的競選鑰匙圈，看到大家竟然還保存著這些小物，真的讓我很感動。​ ​ 這些心意，再再提醒我要 #莫忘初衷，再一次用努力認真，爭取全台北市民的信賴。張大哥也要我當選後，要簽名再還給他，我一定會實現諾言，謝謝張大哥！​ ​ #TaipeiK33PGoing​ #內湖南港,https://www.facebook.com/photo.php?fbid=613622150132076&set=a.273109904183304&type=3,,,Photos from 黃珊珊's post,,,,,1.54
黃珊珊,taipei33,100044528885416,POLITICIAN,TW,"
Taiwan K33P Going！",2009-12-23 00:48:02,265710,260503,2022-08-31 07:29:41 CST,2022-08-31,07:29:41,Link,"3,854",3497,193,52,39,0,2,2,4,65,,-,0,0,0,N/A,https://www.facebook.com/100044528885416/posts/614206646740293,政治獻金網站已上線 信用卡、7-11、網路ATM都可以幫忙珊珊，讓我們齊步共贏！ ,https://taipei33.oen.tw/,,,黃珊珊,黃珊珊: 有句成語叫「姍姍來遲」，其實我只是最晚宣佈，但我相信，在這場選戰中，我是所有候選人當中，準備最早，也是準備最充份的人。​我已經準備了24年，對於這個城市的熟悉與熱愛，讓我可以立即上手、無縫接軌。.....,,,,2.26
