Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,20224,21647,2022-09-25 07:52:01 CST,2022-09-25,07:52:01,Status,"4,250",3886,157,47,39,2,2,1,0,116,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/619353686306616,選舉剩60天。 感謝桃園市民們對我的支持。昨晚一個爸爸牽著兩歲的孩子跟我打氣加油說「台灣不能再這樣耗下去￼，為了下一代我一定會投你的。」,,,,,,,,,"4,250",3.45
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,21116,22493,2022-11-26 21:30:26 CST,2022-11-26,21:30:26,Photo,"4,029",3296,236,16,51,1,1,5,1,422,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/665179661724018,各位同仁、志工朋友大家辛苦了！ 桃園這場選仗我們大家一起從零開始努力，一起走到了現在，謝謝大家在這段時間的努力與付出。我們都是一群政治素人，沒有大量的政治資源，沒有富麗堂皇的競選辦公室，沒有無窮無盡的資源，所有的選票，都是靠著一步一腳印，一雙一雙手去走出來的。或許，我們開出來的選票不盡理想，沒有達到大家的預期目標，我也深知還有要努力的地方。 但我也想跟所有投給我的市民朋友、所有的市議員候選人說，我們沒有輸，我們是一群勇於承擔藍綠之外新政治的一群人，未來的路還很長，我們只要一起努力，希望還是無窮的。 辛苦大家了，也謝謝大家，未來我們再一起加油！,https://www.facebook.com/photo.php?fbid=665179441724040&set=a.505905507651435&type=3,,,,,,,,"4,029",6.97
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,18785,20300,2022-06-19 09:23:34 CST,2022-06-19,09:23:34,Photo,"3,741",3176,388,72,17,5,12,0,10,61,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/553788802863105,#桃園前進 #香伶騎步走 621 起步走 藍綠市長桃園市長提名人都已底定，在黨內有眾多競爭者時，只有 #台灣民眾黨 透過 #黨員投票、#民調 決定提名人選，不是少數人 #黑箱作業 決定提名人，在已經高度民主化的台灣，兩大黨的做法讓人覺得不可思議。香伶經初選提名後，在基層拜訪過程中，獲得許多好朋友、新朋友的鼓勵支持，深深感謝。 為了展現我們將與桃園人 ＃共下打拚 #作伙打拼 的決心，我們將展開 桃園前進、香伶騎步走 活動，希望大家一起來騎腳踏車 #行走桃園 ，共下來 感受土地的氣息，傾聽人民的聲音。 集合時間：6月21日上午9:00 地點：桃園火車站舊址前廣場（長壽街與大同路口旁Ubik 租借處） 選擇 #桃園火車站舊址廣場 出發，是因為這裡象徵桃園新舊城區發展的交會點，#桃園鐵路地下化 工程正在進行，#桃園捷運綠線工程 還在施工，這裡是許多桃園人每天進出的交通要地，但火車站舊址廣場周邊店面許多已歇業、拉下鐵門，桃園的未來如何振興？需要一個願意彎下腰、傾聽人民聲音，與大家共下打拚的市長！我，賴香伶，已經準備好了！桃園的未來發展從這裡出發，我們要讓 桃園前進！創造桃園未來的光榮歷史，讓我們一起向前行、作伙打拚，讓桃園成為下一代桃園人的驕傲。 週二行動出發時也將舉行記者會，公布競選主視覺，我也會發表競選演說，目前已得知不少好朋友會來，在此先謝謝各位的熱情支持，讓我們一起 #與伶同行，走向桃園的美好未來！ #桃園市長選舉 #市長參選人賴香伶 #我信賴賴香伶 立即追蹤我的 Instagram 和 YouTube 頻道😃 https://linkby.tw/hsianglinlai,https://www.facebook.com/photo.php?fbid=553785816196737&set=a.505905507651435&type=3,,,,,,,,"3,741",6.47
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,20053,21481,2022-09-09 11:41:19 CST,2022-09-09,11:41:19,Photo,"3,703",3486,131,27,18,1,2,0,5,33,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/607992634109388,今天上午台北市長 柯文哲 特別帶我們參觀在台北市花博增豔館舉辦的 #城市博覽會 ，活動中可以看到機關首長與市長的用心，展覽區有許多令人讚嘆的地方，展期到九月十一日為止，還有幾天時間，歡迎大家來參觀。 當初柯市長透過 公開遴選方式，我才有機會進入台北市政府勞動局服務，這次活動也展示了如何將 開放政府 理念，具體落實在市政建設中。 柯市長花了許多時間介紹 #社會住宅推動的情況。對桃園來說，我最在意的就是社會住宅興建、市場改建，我們桃園有非常多的 #傳統市場 都可以精進、調整，社會住宅興建，政府也必須積極找地，都需要桃園市政府來努力推動。我提出的一站一社宅，未來也會智慧化，也會在綠建築上引導產業推動，這都是桃園可以從台北借鏡之處。 此外，#參與式預算 也是值得借鏡，它可以讓市民的好點子，讓公務員知道，也可以在政策平台上具體來執行，所以我也提出「開放政府」政見，希望把參與式預算精神融入。我也期待能夠編列相關預算在區里建設裡面，就是類似參與式預算平台，不論是公園或區里建設的優化，都可以藉由市民的好點子。 在展覽中，我看到北一女學生提出了「循環杯」構想，讓參與外送平台的商家能使用「#循環杯」、減少垃圾，包括點午餐等都可以納入，就顯示只要藉由市民的智慧，可以幫忙推動環保的垃圾減量。我也期待桃園的市民朋友未來可以給我、市政府好點子，做到到大家都可以參與市政的環節。 台灣民眾黨陳琬惠 楊寶楨 Christina 黃瀞瑩 張志豪 陳宥丞 林珍羽 吳怡萱 張幸松 陳思宇 #一站一社宅 #參與式預算 #開放政府 #賴香伶政見,https://www.facebook.com/photo.php?fbid=607990637442921&set=a.505905507651435&type=3,,,Photos from 賴香伶's post,,,,,"3,703",6.41
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,18893,20404,2022-06-30 09:28:35 CST,2022-06-30,09:28:35,Status,"3,251",1922,327,15,36,49,3,25,2,872,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/561371605438158,我確診了，抱歉。 昨天跑完行程回家時，頭昏腦脹、發燒，快篩呈現陰性，倒頭就睡。 昏睡到早上，還是不舒服，快篩後出現兩條線，上午已預約線上看診，準備居家隔離。 這幾天和我見面的朋友，我在除了吃飯和喝水時間之外，無論室內外的行程都有確實戴好口罩、時時消毒雙手，很抱歉，造成你們困擾。 這幾天已約定見面的朋友，很抱歉必須取消行程，包括「香伶騎步走」活動將延期，再次抱歉造成大家不便。 我會在家好好休息，康復之後再與各位見面。,https://www.facebook.com/photo.php?fbid=561397785435540&set=a.505905510984768&type=3,,,,,,,,"3,251",2.68
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,20858,22253,2022-11-16 17:25:58 CST,2022-11-16,17:25:58,Status,"3,238",2143,731,136,12,5,100,3,66,42,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/658062632435721,許多朋友問我有關近日來的爭議，我有些話想跟大家說。 首先，我尊重檢調的調查，事情真相如何，最後一定會給大眾交代。 在國會，各委員辦公室間不瞭解彼此運作模式，我也不願在不瞭解、不確認事實的情況下妄下評論。 我瞭解選舉攻防在所難免，但用這種方式攻擊在野黨或個別候選人，形式上好像在追究一個真相，實質上就是在打擊在野黨，我對這種選風感到悲哀。 我非常肯定國會助理的專業及辛勞，如果覺得不公或委屈，申訴管道和平台都建置非常完善，爭取自己的權益理所應當，但以在網路上帶風向或是透露給特定媒體，對正規的管道反倒棄之不用，不是很好的做法。 我所有的助理都是個人聘用，有寫法案質詢的、負責選民服務的，當然也有負責委員會事務，與各黨團聯繫的。我派一位專責助理與黨團共同協作，不是什麼假人頭領錢給黨，更不是聘人當黨工。助理們很辛苦，他們在立院的工作成果都是事實非常容易查證。有任何需要公開揭露的資訊，我亦義不容辭，相信以訛傳訛的謠言，終會不攻自破。 選舉倒數最後十天，我更希望選舉攻防能著重在怎樣讓市政更好、更貼近市民的需求，而不是用「詐領」二字，抹滅所有國會助理的專業。,,,,,,,,,"3,238",2.58
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,20186,21614,2022-09-22 06:20:01 CST,2022-09-22,06:20:01,Status,"3,207",2920,145,72,24,3,6,2,0,35,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/616979226544062,黃鐘毀棄、瓦釜雷鳴 虹安的一句失言，讓民進黨原本想用論文烏賊戰來混淆視聽，在一日之間操作成為「傲慢的菁英」與社會庶民對立，我不得不承認民進黨實在是很會選舉。 虹安不是那樣的人。我認識的她認真嚴謹，而在失言後當天就道歉，是經得起公眾的考驗。當她全力應付烏賊戰當時，一句失言再經過政治加工，透過媒體與網軍立刻把她扣上「傲慢的菁英」的帽子。 民進黨是「很會選舉」。但時過境遷，從過去的掌握民心追求尊嚴的選舉方式，如今已經成為扣帽子煽動打擊政敵的仇恨式選舉。「割喉戰」一詞出現之後民進黨的選舉方式變質了。 一句古語提醒民進黨操盤選舉的團隊：「黃鐘毀棄，瓦釜雷鳴」。不斷用骯髒的手法打擊黨內黨外有良知的人，放任政治打手在那邊吹喇叭號召社會大眾，只會讓台灣處處充滿「背骨」「同路人」仇恨漫天、協商式的政治成為你死我活、有良知的人因恐懼選擇沉默、真正社會問題被忽視掩蓋，以致施政方針產生重大偏差，後果可想而知。 聲援虹安，我想再強調一次「黃鐘毀棄，瓦釜雷鳴」，並不只是古成語政治亂象的形容，而是國政崩毀前夕的警語，盼上位者以及有志於政治的工作者深思。 #虹安，加油！,,,,,,,,,"3,207",2.61
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,19208,20690,2022-07-26 21:20:31 CST,2022-07-26,21:20:31,Status,"2,940",2268,374,59,2,25,11,21,13,167,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/578852290356756,富邦悍將外野手林哲瑄，23日在新竹棒球場飛撲時受傷，去醫院接受核磁共振檢查，結果是左肩關節唇破裂，可能需要開刀，本季恐怕報銷。 稍早我已請辦公室同仁致電富邦悍將球團總機，針對球場設施安全不足、造成球員￼受傷，特別是未完成驗收就開打，是否涉及行政責任歸屬，￼我們也願意提供哲瑄 #申請國賠 相關協助，並已留下後續聯繫方式。 新竹棒球場在開賽前沒有驗收、安全存在疑慮，這些都是球場職業安全的基本問題，不該由球員自己承擔，我和我辦公室的法務同仁，會積極提供協助。 哲瑄是職棒不可多得的好手，對於他的傷勢，我感到非常遺憾，希望大家一起幫他加油打氣，祝他平安、早日康復。,,,,,,,,,"2,940",2.39
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,20298,21703,2022-09-30 10:04:28 CST,2022-09-30,10:04:28,Photo,"2,879",2547,120,87,9,3,70,10,4,29,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/623192845922700,徐國勇部長，你可曾想過，你口中的那群護國群山，是讓現在年輕人永遠都跨不過，把年輕人壓跨的那座山。 徐國勇部長，你可曾想過，你口中的真正火車頭所拉的那部火車，是現在年輕人連車票都買不起的那部火車。 前天，我們的內政部長徐國勇在出席活動時說出，房地產業者是臺灣真正的護國群山，是產業的火車頭，聽到這些話的時候，我其實是非常難過的。現在正在內政委員會的我，上會期眼睜睜的看著本來即將排審的 #平均地權條例，因為兩大黨不知名的壓力活生生地被「喬」掉了；在租賃條例中的協商，又看見執政黨政府的消極，我真的非常地替年輕人感到痛心，這樣的政府到底把努力買房的年輕人當成什麼了？ 眼中沒有人民只有選票的執政黨政府，一心一意的只想攻擊在野黨，柯總召，你最近每天晚上都打了千字長文給高虹安委員，若是您可以多花一點點的心思在這些年輕人、在居住正義上，想想如何排審、如何實質審查，這個國家才可以變得更好。 最後我想說，在中央還是有許多認真推動住宅政策的公務員，在立法院還有許多委員正在努力推動居正正義，在民間也還有許多正在努力實現居住正義的團體。我也會持續和人民、和年輕人站在一起，繼續在中央與地方努力，推動居住正義四法的修法；在地方獲得勝選，實現居住政策每一項政見，一起監督改變這個只會開支票、攻擊在野黨的傲慢政府。 #居住正義,https://www.facebook.com/photo.php?fbid=623192585922726&set=a.505905510984768&type=3,,,,,,,,"2,879",4.98
賴香伶,HsiangLinLai,100046959711590,POLITICIAN,TW,改變政治需要有你，一起行動！,2019-12-01 14:43:46,18284,19804,2022-04-21 17:14:53 CST,2022-04-21,17:14:53,Photo,"2,825",2268,385,71,34,2,6,1,0,58,,-,0,0,0,N/A,https://www.facebook.com/100046959711590/posts/515727236669262,感謝大家致電關心💕 👇🏼 👇🏼 👇🏼 👇🏼 小額捐款將上線，還請大家持續關心📦 （零錢也歡迎唷，#客家精神）,https://www.facebook.com/photo.php?fbid=515727220002597&set=a.505905507651435&type=3,,,,,,,,"2,825",4.89
