Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261632,280295,2022-04-22 12:00:10 CST,2022-04-22,12:00:10,Photo,"1,862",1759,57,21,13,1,0,0,1,10,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/538398014314125,422世界地球日，保護我們生活的土地，讓眼前這片山林美景永遠翠綠！ 這幾年只要機會，我就會往山裡跑。望向群山，更能感覺到環境永續的重要性。山林孕育著無數生命，既珍貴但也很脆弱，需要我們的守護。 希望大家都能記得，地球只有一個，全世界的人類共同承擔著守護地球健康的責任。改變生活中的小習慣，支持綠色經濟與綠色能源，減少地球的負擔，把美好的家園留給下一代。 ＃世界地球日 ＃山林守護 ＃綠色行動,https://www.facebook.com/photo.php?fbid=538397834314143&set=a.527058028781457&type=3,,,,,,,,-6.12
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261632,280295,2022-04-22 14:09:37 CST,2022-04-22,14:09:37,Photo,"1,686",1407,87,42,2,16,1,7,3,121,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/538446930975900,中央流行疫情指揮中心今天(4/22)公布，新竹市新增23名確診個案。 其中7例屬居家隔離期間採檢確診，8例新增個案尚在疫調中，其餘8例為確診者的密切接觸者或有相關活動史，有1例個案曾參加阿妹演唱會，出現症狀後採檢確診，有2例為校園相關案例，今日共有21校停課、3校復課。 提醒大家，盡快打滿三劑疫苗，才能守護彼此的健康！如果出現疑似症狀或與確診者足跡重疊，皆可到 ＃國軍社區篩檢站 免費採檢。 周末假日即將到來，市民朋友如果出門到外，務必全程把口罩「戴好戴滿」，更要勤洗手，一起做好防疫工作！,https://www.facebook.com/photo.php?fbid=538446890975904&set=a.527058018781458&type=3,,,Photos from 林智堅's post,,,,,-6.76
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261632,280295,2022-04-22 19:03:35 CST,2022-04-22,19:03:35,Photo,"1,882",1788,40,21,5,0,1,2,1,24,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/538566264297300,校園防疫不鬆懈！我們已經啟動全市69所中小學及非營利幼兒園消毒計畫，提高頻率、徹底清消！ 若是已有確診案例的校園，我們都會在第一時間加強整體環境及特定教室消毒，阻斷病毒傳播。面對疫情變化，我們戒慎而不恐懼，一定要 ＃勤洗手 ＃戴口罩 ，一起落實防疫工作 ！ ＃校園大清消 ＃防疫不鬆懈,https://www.facebook.com/photo.php?fbid=538566217630638&set=a.527058018781458&type=3,,,,,,,,-6.06
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261708,280368,2022-04-23 12:00:28 CST,2022-04-23,12:00:28,Photo,886,830,29,17,5,0,0,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/539050917582168,4月23日 ＃世界閱讀日，你今天讀書了嗎？不論是到圖書館或在家，快找到最舒適的角落 ＃讀起來！ 我們持續充實館藏，也新闢 ＃動物園分館 ＃龍山分館，升級 ＃青少年分館，也讓校園圖書館成為 ＃社區共讀站；還建立24小時無休的 ＃微型圖書館…總館藏超過160萬冊，讓大小朋友都能讀到合適、喜歡的書。 在這舒服的假日午後，快和我一起讀本好書吧！ ＃到圖書館也要戴好口罩 ＃留言分享你的好書,https://www.facebook.com/photo.php?fbid=539050864248840&set=a.527058018781458&type=3,,,Photos from 林智堅's post,,,,,-12.86
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261708,280368,2022-04-23 14:03:51 CST,2022-04-23,14:03:51,Photo,"1,720",1434,135,44,5,33,2,13,5,49,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/539106620909931,中央流行疫情指揮中心今天（4/23）公布，新竹市新增51名確診個案。 其中有4例是居家隔離期間採檢陰轉陽確診，10例為確診個案之密切接觸者，或曾有前往高風險區域旅遊史者，餘37例新增個案尚在疫調中。 今日確診個案中，有2例為新竹百富遊樂場職場群聚之個案；另有4例屬同一家庭群聚事件，疫調人員同步進行疫調中。今日共20校停課，1校復課。 今日確診個案相關足跡皆已通知營業場所進行清消。如果出現疑似症狀或與確診者足跡重疊，皆可到 ＃國軍社區篩檢站 免費採檢。 提醒大家，盡快打滿三劑疫苗，才能守護彼此的健康！出門到外，務必戴好口罩，確實落實實名制，一起做好防疫工作！,https://www.facebook.com/photo.php?fbid=539106527576607&set=a.527058018781458&type=3,,,Photos from 林智堅's post,,,,,-6.63
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261708,280368,2022-04-23 19:00:01 CST,2022-04-23,19:00:01,Photo,"4,313",4087,93,88,29,8,1,0,3,4,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/539208360899757,蔦屋書店今天（4/23）正式開幕，營業時間延長到晚上12點，愛書的夜貓子有地方去了！ 週末晚上吃完晚飯，總想去哪裡走走，但又擔心太早打烊，不盡興嗎？來蔦屋書店逛逛，450坪超大空間，逛到半夜也沒問題！ ＃不要忘記戴口罩_落實實名制 ＃顧好防疫才能有好生活,https://www.facebook.com/photo.php?fbid=539207707566489&set=a.527058028781457&type=3,,,Photos from 林智堅's post,,,,,-2.64
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261797,280454,2022-04-24 12:32:55 CST,2022-04-24,12:32:55,Photo,"5,765",5289,164,221,21,30,7,2,11,20,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/539858520834741,西大路地下道整修工程啟動！明天起（4/25）開始將進行交通管制，造成不便敬請見諒！ ▶4月25日至7月15日，封閉行人地下道、機車雙向正常行駛。9:00至16:00期間，汽車往市區方向單線通行。 ▶4月25日至5月3日，夜間施工，晚上22:00到隔天5:30採汽機車道全線封閉。 ▶其餘時段，開放雙向通車（16:00到隔天9:00）。 7月16日後將全封閉道路45天，請大家利用周邊替代道路，汽車改以振興陸橋、東大陸橋，通往前站、後站。機車則可利用振興陸橋、竹蓮街機車地下道、東大路機車地下道作為替代道路。 提醒大家，經過管制區域記得減速慢行、提前改道，依照施工管制人員指揮及引導告示牌指示行駛。 ＃西大路地下道 ＃44年來首次整修,https://www.facebook.com/photo.php?fbid=539857850834808&set=a.527058028781457&type=3,,,,,,,,-1.98
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261797,280454,2022-04-24 14:16:38 CST,2022-04-24,14:16:38,Photo,"1,690",1390,63,56,4,16,1,7,3,150,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/539902080830385,中央流行疫情指揮中心今天（4/24）公布，新竹市新增20名確診個案。 其中5例居家隔離期間採檢陰轉陽，9例為確診個案之接觸者，餘6例新增個案疫調中。 今日確診個案中，有6例屬同一家庭群聚事件，因警覺家庭成員陸續出現症狀採檢後確診，衛生局已匡列相關密切接觸者並持續疫調中；另有1例為昨日百富遊樂場職場感染群聚、1例為龍山國小學童，於隔離期間確診，該班已於4月20日即停課，預計5月2日復課。 相關足跡皆已通知營業場所進行清消。民眾若曾與確診個案在同時段有重疊足跡，皆可到 ＃國軍社區篩檢站 免費採檢。 新竹市今年累積314名確診個案中，皆為輕症或無症狀個案。提醒大家，盡快打滿三劑疫苗，才能守護彼此的健康！,https://www.facebook.com/photo.php?fbid=539901250830468&set=a.527058028781457&type=3,,,Photos from 林智堅's post,,,,,-6.74
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261797,280454,2022-04-24 19:01:24 CST,2022-04-24,19:01:24,Photo,"2,331",2105,113,83,4,1,1,2,4,18,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/540019107485349,明天就是星期一了！提醒還沒打滿3劑疫苗的朋友們，星期一、三、五，都可以到三區衛生所 ＃補進度！ 還有！設籍新竹市65歲以上長輩，不論打哪一劑，都能領到1000元禮券！這麼好康的事情，還沒打疫苗的阿公阿嬤，一定要卡緊來！ ＃完整接種三劑疫苗 ＃守護彼此的健康,https://www.facebook.com/photo.php?fbid=540031410817452&set=a.527058018781458&type=3,,,,,,,,-4.89
林智堅,taiwango0527,100044317932312,POLITICIAN,TW,"作為桃園女婿，期盼能夠為我太太的家鄉服務。
延續桃園五星級市政，壯大台灣！
年輕桃園，堅定向前！",2012-02-22 01:28:52,261876,280527,2022-04-25 12:31:18 CST,2022-04-25,12:31:18,Photo,"2,554",2244,192,46,4,5,1,3,31,28,,-,0,0,0,N/A,https://www.facebook.com/100044317932312/posts/540505800770013,今天一早，我與陳時中指揮官、全國縣市防疫指揮官進行視訊會議，也召開本府防疫會議，為可能的變化提前做好準備。 會議中，我們針對即將上路的「3+4方案」進行討論，待CDC正式公布細節後，我們也會依照新規執行。 因應疫情快速發展，我們也提兩點建議，獲得CDC正面回應。未來，除非特例，否則不公布確診者足跡，第二，給予民政單位接觸者健康追蹤管理系統權限，以利追蹤居家隔離個案，也有更充足人力即時提供協助。 新竹市「居家照護關懷中心」上週啟動，已累積服務108人，＃新竹市居家照護關懷的line@ 官方帳號也在今天上線，不管是確診者、居家隔離者，每日的健康狀況追蹤、緊急救護需求、通訊診療、送餐，一機在手，就能快速方便得到服務！ 針對疫苗施打，我們已經著手整備「三區疫苗施打站」及預約制，待下周疫苗發配到位，就能服務更多市民朋友，施打更便利。我也要提醒65歲以上設籍新竹市的長輩，5月31日前，不限打第幾劑都能獲得1000元禮券，邀請阿公阿嬤盡快完成接種，提升防護力！,https://www.facebook.com/photo.php?fbid=540505770770016&set=a.527058018781458&type=3,,,Photos from 林智堅's post,,,,,-4.46
