Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,146451,160903,2022-08-31 09:00:06 CST,2022-08-31,09:00:06,Photo,"51,810",40584,7646,1740,246,35,233,11,94,1221,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/816099213212646,永遠感念我的老東家 宏碁Acer 綠營請衝著我來 別傷害本土企業 最近，大家關注我在宏碁電腦任職時做了什麼？正是那段時光，使我與美麗的桃園結緣，同時也是我人生中壓力最大、最辛苦的一段時間，但辛苦過去，我認為我對得起我的老東家，另一個台灣之光Acer！ #參與台灣第一座國際級雲端資料中心 90年代末，宏碁創辦人施振榮先生、黃少華先生預見到未來網路的發展，想要在桃園的龍潭渴望園區建立國際級的雲端資料中心。由於我在國科會等科技相關單位的經驗，他們找上我。這座資料中心的主機量，是當時全台灣第一。 這項國家級計畫，第一期的建廠，就花了20幾億，前後十幾年的建設期間，從硬體、機電到技術轉移，至少投資了50億，為台灣打下雲端科技能量的基礎，能參與這樣的計畫，是我的榮幸。 #全台灣最好的工程品質 開始興建前，我們飛到美國的IBM、HP等大公司取經，潤泰集團的尹衍樑總裁當時感嘆「事情大條了，這絕對是台灣首創、沒人做過的工程」，結果證明，確實如此。 回到台灣，我們開始實際建設雲端資料中心。為了資料安全，我們必須同時埋設兩條輸電纜，確保不斷電，種種的機電工程幾近「吹毛求疵」。最後，工程的成果蓋得由於蓋得銅牆鐵壁，防颱、防火、抗震。也難怪有人說「這是台灣最好的工程品質」。 那幾年我背負非常大的壓力，天天就想著要爭取客戶，讓宏碁的投資能得到回報。在宏碁的10年，我完成了不可能的任務，為台灣的發展作出貢獻，更與美麗的桃園結緣，得以認識這一片有著不同族群、風景與包容力的美麗城市。 如今，卻因為我個人選舉的因素，導致老東家被捲入綠營政治鬥爭、抹黑的漩渦之中，我深感過意不去。對老東家，我只有無限的感激。在這裡，我要向民進黨喊話： 為了要對付我一個人，值得拉我們台灣優秀的本土企業下水嗎？要付出這麼大的代價嗎？要抹黑、要搞政治，就請衝著我來吧！髒水，潑到我為止！,https://www.facebook.com/photo.php?fbid=816099176545983&set=a.716783706477531&type=3,,,,,,,,"51,810",4.77
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,166977,181420,2022-11-26 21:49:17 CST,2022-11-26,21:49:17,Photo,"48,856",43908,3741,334,424,10,14,0,9,416,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/883254513163782,做市民公僕 拚桃園善好！ 今天不是我個人的勝利，是屬於全桃園人民的勝利，是全台灣的民主勝利！ 未來我將成為桃園市民的公僕，桃園的進步和發展都跟我緊密相連，和桃園共榮共存，從今日開始，我會盡全力守護大家，讓桃園更進步、更幸福！ 我要感謝桃園鄉親朋友，謝謝你們把桃園的未來重擔交給了我，也謝謝大家在讓我這場艱困選戰中，給我向前打拚的力量，將來我和所有市民站在一起，用最好的市政成績來回報大家！ 我要向桃園市長鄭文燦過去八年為桃園的付出致意。未來接棒市政，我會秉持專業，不分黨派來規劃，一切以市民的福祉為依歸！ 我也要感謝一起拚桃園未來願景的三位可敬對手，謝謝你們一起守護桃園的未來、見證桃園的民主！ 明天開始，我們一起捲起袖子，為桃園打拚！,https://www.facebook.com/photo.php?fbid=883254353163798&set=a.716783706477531&type=3,,,Photos from 張善政's post,,,,,"48,856",4.47
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,163189,177598,2022-11-11 17:00:50 CST,2022-11-11,17:00:50,Photo,"42,451",38799,1282,591,112,7,33,6,18,1603,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/871201447702422,挺善良 反奧步 大家一起站出來 這段時間，我受到許多的抹黑、抹紅攻擊 不只是我，還有許多同黨的、在野黨的候選人 我們秉持從政初心、想為家鄉做點事情 但只是因為和執政黨顏色不同 可能危害到當權者的利益 就要遭受府院黨資源鋪天蓋地、抄家滅族的對待？ 有住在桃園區的市民打電話來 說他家裡樓下的信箱 也收到署名「民主進步黨桃園市黨部」的黑函 這樣的奧步 真的對候選人、對選民公平嗎？ 對我們那一代人來說 「知識報國」是最高的榮譽 一身出國留學取得的專長與知識 能夠帶回來為國家社會做出貢獻 是許多工程師、技術人員願意忍受辛苦 日以繼夜做研究、拚研發的動力 我在擔任行政院長做事、救災的時候 從來沒有分過藍綠、沒有差別待遇 因為參與公共事務 是希望社會整體更好 更惡質的是，當執政黨跑出來說別人奧步 自己卻動用司法、檢調、黨政、媒體、網軍甚至黑道 來追殺在野黨的候選人 甚至打壓民間意見領袖 民進黨自己，不才正是「奧步黨」嗎？ 我最不能接受的 是執政黨蔑視專業 動用政府資源消費台積電 不審慎評估就草率推動1200月票 這是對企業、對納稅人都非常不負責任的做法！ 有人說，今年選情有點冷 但我要請所有對國家社會進步抱有熱情的朋友 一起站出來！ 因為有一個如此踐踏專業、以私害公， 還用奧步而非政策專業與願景來選舉的執政黨 我們不能再袖手旁觀 一定要站出來 阻止民進黨的錯誤政策 害台灣繼續向下沈淪！ 「挺善良 反奧步」 這是我們今年站出來投票 實踐民主 也維護民主最好的理由！,https://www.facebook.com/photo.php?fbid=871201427702424&set=a.716783706477531&type=3,,,,,,,,"42,451",3.91
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,163468,177881,2022-11-12 22:31:52 CST,2022-11-12,22:31:52,Photo,"42,376",39938,1275,347,148,3,19,5,12,629,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/872244294264804,六六大勝 六都大團結💪 作伙為你 拚出好日子❗️ 今晚在板橋 六都戰鬥的夥伴們在一起 侯侯做代誌侯友宜 媽媽市長盧秀燕 台北萬安蔣萬安 高雄戰將柯志恩 犀利龍介仙謝龍介 以及我們的總教練 朱立倫主席 中道、務實、善良、專業的力量大團結💪 1126「挺善良、反奧步」 大家一起站出來！,https://www.facebook.com/photo.php?fbid=872243530931547&set=a.716783706477531&type=3,,,Photos from 張善政's post,,,,,"42,376",3.88
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,162182,176588,2022-11-07 20:00:05 CST,2022-11-07,20:00:05,Photo,"40,317",37318,1584,721,125,9,28,3,26,503,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/868089598013607,數位五策 打造智慧新桃園 讓桃園成為年輕人新創門戶！ 人工智慧（AI）、區塊鏈（Blockchain）以及大數據（Big data）等新技術正在改變人類的生活。透過科技持續探索未知的邊界，是人類進步的原動力，城市發展自然也不能例外。 今天我提出桃園市《數位五策》，透過將數位科技導入市政領域、營造友善科技新創環境，讓桃園成為AR、VR、區塊鏈等技術應用及元宇宙產業的先驅城市。 1⃣️導入建築資訊模型（BIM）與驗證機制，發展智慧交通，邁向桃園 #數位雙生（Digital Twin）！ 2⃣️用AI #人工智慧 為城市加速，不僅市政要AI化，產業更要能使用AI技術！ 3⃣️推動桃園成為 #區塊鏈 友善城市，推動將區塊鏈導入市政、創新金融、公共工程、法務應用等領域！ 4⃣️用 #數位思維 改善市政決策與治理品質，優化桃園市府提供的數位服務！ 5⃣️建立數位制度，強化 #數位民主，善用行政院資安長的經驗，確保市民與市府的資料安全！ 科技帶來的不只是機會，也有挑戰。數位極權（Digital authoritarianism）的威脅不只來自境外，國內的數位極權，諸如執政者推動《數位中介法》的不當作為，同樣需要國人警醒。 「我們不能讓政府利用網路數位科技，箝制公民的自由！」 我將會提出《桃園市數位自治條例》，建立合於數位人權的法律基礎與技術架構，捍衛數位時代的台灣民主。 來自桃園在地的元宇宙新創團隊今天也加入我們，展示VR與元宇宙遊戲開發實境，秀出台灣年輕人的科技軟實力！我非常振奮，這顯示我們桃園真的是人才濟濟，完全有在國際舞台競爭的實力！ 未來透過落實「數位五策」政見，我們一定要讓更多有潛力、有夢想的年輕人，將桃園視為科技創業的第一選擇，打造科技新創的生態系，讓桃園成為台灣新創門戶！,https://www.facebook.com/photo.php?fbid=868089541346946&set=a.716783706477531&type=3,,,Photos from 張善政's post,,,,,"40,317",3.72
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,163468,177881,2022-11-12 17:00:44 CST,2022-11-12,17:00:44,Photo,"39,461",35651,1174,310,137,3,17,1,11,2157,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/872051584284075,緊握每一雙手 繼續認真勤走 選戰倒數14天 我們的選戰節奏持續加速 我們 沒有中央執政的國家機器護航 沒有地方執政的資源挹注 但我知道 每一位市民眼神中對桃園未來的期待 就是讓我勇往直前最大的動力 握緊每一雙手，繼續認真勤走！,https://www.facebook.com/photo.php?fbid=872051450950755&set=a.716783703144198&type=3,,,Photos from 張善政's post,,,,,"39,461",3.64
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,146061,160521,2022-08-30 17:34:52 CST,2022-08-30,17:34:52,Photo,"39,414",27198,8123,1156,146,14,282,2,115,2378,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/815645293258038,身正不怕影子斜，嚴正反擊選舉抹黑！ 受委託報告對台灣有貢獻絕非抄襲，歡迎大家檢視！ 剛開始參選時，綠營的朋友就警告過我，執政黨會動用國家機器、媒體資源的抹黑、抹紅、抹黃會鋪天蓋地朝我來攻擊，今天竟然用媒體放話指控我抄襲，實在是天大的笑話！此委託報告的目的與規格，跟學術學位論文南轅北轍、截然不同，兩相做比較根本就是「張飛打岳飛」！ 大家都知道，我於2000-2010年曾在宏碁電腦公司擔任電子化事業群副總經理，當時這個案子「農業電子化發展策略分析與規劃」是宏碁接受農委會委託的三年研究案，主要目標是向台灣農業研究單位介紹國外農業電子化新知，所以當然會翻譯、引用各種文獻及資料來源來介紹給農委會參考，這絕非抄襲。 當時承接此委託案，研究團隊共有12個人，我是公司的部門主管，所以掛名主持人，並非我一個人獨力執行與撰寫，一個人也根本無法完成。在我的記憶中，每一位團隊的成員都是認真負責，希望為台灣的農業作貢獻，我們要大量閱讀、整理世界各國的農業電子化政策，然後消化分析，提供農委會以及每一位對台灣農業有期待的人，做制定政策的依據。 我看到一些造謠抹黑的標題，說什麼5700萬只交出六頁報告，更是胡說八道！在這個委託案三年（2007-2009）的過程中，橫跨兩屆藍綠的政府，不只是寫報告、蒐集各國資料，還要到各研究單位舉辦研討會、座談會、跨部會溝通、各國考察、發行電子報、系統開發、農委會相關計畫輔導等，成果十分豐碩。 實際上不同份數的報告分別有上千頁，包括97年度就製作超過11份專題子報告，以及國際資訊應用策略分析、實地參訪心得等等，這在相關網站上都查得到，例如「政府研究資訊系統GRB」。 造謠抹黑的有心人士，意圖指控我也涉及抄襲，然而，該委託案計畫撰寫規範與學術論文規定與定義完全不同，相關計畫皆經過農委會審查機制審核，三年計畫成果豐碩，且驗收時也受到農委會的肯定。 當年農委會資訊中心是甲方業主，對我們表現甚有好評，我也感謝當年資訊中心的林貞主任第一時間出來幫我澄清、闡述事實真相，她公開在臉書上提到： 「當年張善政院長在宏碁接受農委會資訊中心之委託，進行三年計畫，目的是蒐集引進國外農業電子化新進展資訊，供國內農業研究單位參考，選擇適合台灣環境導入應用。因此翻譯摘取國外文獻精華乃是必要，引用之重點資料均有提供本會出處。翻譯引用文獻，不是抄襲。」 此外，我當年任職的宏碁電腦公司，今日稍早也已經發出聲明澄清給該報導媒體： 「本公司自2007年起3年執行行政院農業委員會『農業電子化發展策略分析與規劃計劃』專案，內容彙整國內農業發展狀況、農委會等各機關E化等科技應用情形以及國外實際執行方式及結果，更包括實際導入新的技術與場域內進行驗證、舉辦研討會及座談會等。本專案內容包含國內農業E化資訊、農委會轄下等各機關做法，故須引用相關文章。」 真正檢視該份委託案內容可以發現，其產出的各種書面計畫字數龐大，媒體指涉的極少數篇幅，反而證明有疑義的比例極低，我誠摯呼籲，有心人士切勿因選舉利益就政治操作、顛倒是非來抹黑優秀的本土企業、抹煞此報告對台灣農業電子化發展的貢獻。 我要和大家報告，我對該計畫的研究成果有信心，也對其貢獻深感驕傲。對於書面文字極少數引發疑慮的部分，我也呼籲相關單位秉公辦理、該怎麼處理就怎麼處理。 很遺憾因為我個人的選舉，導致當年團隊對台灣的付出，被拿來抹黑成抄襲的問題，我也要對曾任職過的宏碁公司被捲入選舉是非、造成困擾，感到遺憾、過意不去。 我不能接受這種造謠抹黑的選舉手法，更不可能被這種移花接木、指鹿為馬的手法打倒。選舉對手應該尋求更正面的競爭方式，才是桃園之福、台灣之福。身正不怕影子斜，歡迎大家檢視我、檢視這份報告！,https://www.facebook.com/photo.php?fbid=815645143258053&set=a.716783706477531&type=3,,,,,,,,"39,414",3.63
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,151024,165440,2022-09-30 13:04:57 CST,2022-09-30,13:04:57,Photo,"36,797",29583,3175,1063,98,21,100,6,27,2724,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/837878514368049,民進黨不抹黑就不會選？！ 我張善政坦蕩蕩，如果要抓我，現在就來！ 特定媒體今天以頭版頭刻意的偏頗報導大幅度炒作、檢方加碼配合說我「賄選」，側翼網軍再發文炒作，再度對我展開人格毀滅戰。類似的手法似曾相似，選舉奧步毫無意外「又來了」！ 我可以直接拆解他們的套路：「黑函爆料」→「媒體炒作」→「側翼跟進」+「檢調跟進」，含沙射影、張冠李戴的指控你觸法，實在是老狗變不出新把戲，果然，民進黨不抹黑，就不會選！ 綠營側翼指涉我參與9月25日，在中壢藝術館舉辦的公開活動「重陽敬老藝術展演」上，應邀上台協助獎品、獎金是涉及「賄選」，但是，獎金、獎品都不是我提供的，活動也不是我辦的，活動指導單位還是桃園市政府文化局，當天我本人只是一個客人、來賓，應邀上台，這在地方上或日常社區活動都很普遍。 為何特定媒體、檢調只追殺張善政？這不是蔡英文國家機器追殺政敵，什麼才是？ 當媒體自甘淪為打手，介入選舉抹黑在野黨，為打壓對手無所不用其極，竟然說我在一個「全程錄音錄影」，有「300人出席」的「公開場合」，行「賄選」之事？真是讓人笑掉大牙！如此栽贓杜撰，民進黨還有什麼事情做不出來？ 政治力介入媒體如此之深，近年來屢見不鮮。從《鏡週刊》淪為綠營御用抹黑工具，在桃園、新竹連續追殺政敵；《鏡電視》遭綠營高層介入掌控、破壞政媒份際；到TVBS恐面臨被移頻、形同「類關台」的不公平對待。明天，是不是要輪到其他電視台？ 民進黨打造的綠媒共生系統越長越大，只服膺執政黨、追殺政敵，官媒勾結這樣的作法，令人不齒。 我要呼籲蔡總統與民進黨，如果害怕公平選舉、害怕選民反撲，要用這種不公平的方式對待我，要抓我，現在就來吧！你們有瘋狂亂咬人的側翼特定媒體，手握檢調系統，何必那麼麻煩還要抹黑，乾脆直接、現在就把我收押好了！ 張善政清清白白、坦蕩蕩，不怕任何檢驗！ 台灣的乾淨選風與民主價值，不應該被民進黨一黨一人的私利傷害！ 民進黨如果要繼續這樣濫用司法跟公權力，打壓異己只為選舉，我拼了命也要跟民進黨戰到底，絕不退讓！,https://www.facebook.com/photo.php?fbid=837878227701411&set=a.716783703144198&type=3,,,,,,,,"36,797",3.39
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,157162,171556,2022-10-15 12:37:38 CST,2022-10-15,12:37:38,Photo,"35,043",29861,1988,926,139,17,23,6,4,2079,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/850515476437686,即便是選舉戰場，也不能失去台灣人的善良 昨天中選會公告各個候選人的財產申報資料。 作為桃園市長候選人，我跟我太太的財產自然也全數攤在陽光下。 參選、擔任公職，必須申報自己的財產，是為了預防貪腐，我一向非常支持。 我過去擔任政委、部長、行政院長，也都恪守法令，如實申報。 我雖然是第一次掛帥參選，但過去早就有申報財產的紀錄，也已經過多次檢驗。 哪知道昨天中選會公告之後，許多綠營的網軍、側翼對此借題發揮，甚至有網軍扭曲事實，造謠我在中壢有大筆的土地！ 這種暗箭中傷，從我參與選舉以來，已不知發生多少次！ 我一向奉公守法，心懷坦蕩。我也不介意向大家說明申報內容，畢竟公開透明，正是財產申報的立法用意。 我跟我的妻子名下共有66筆土地，60筆是屬於我妻子的，來源皆為她繼承家中長輩的財產，其中大部分是畸零地，總計約90.8坪。 至於我倆所擁有的動產，包含存款、股票等等，都是我們夫妻數十年來工作所得。大家都知道，我第一份工作是在台大當教授，後來有幸獲得施振榮先生、黃少華先生賞識進入宏碁，加上後來在Google服務的時間，投身科技業總計約十餘年。我持有的股票主要都是那段時間的配股所累積。其他動產則是我妻子為了我倆的退休預備，所進行的投資。 我是工程師出身，不是什麼股神，我們夫妻的資產配置目標很簡單，僅是希望在大通膨時代，能保障未來穩定的退休生活，如此而已。 我既不炒股，更不會去炒房、炒地。我名下的6筆不動產，跟大多數民眾一樣，都是因為生涯跟家庭的需要所購置。 第一筆，我持有的新北市新店山上132坪土地，是我近40年前購置，家庭自住所用。我父母在世時，跟我們夫妻住在一起，方便就近照顧，因此需要比較寬敞的居住空間。台北市區我自然是負擔不起，就買在新店烏來的山上，環境也比較清幽。 另外有三筆土地，實際上是一塊地，是我在花蓮的農地。當初是為了父親肺弱多痰，比較適合花蓮乾冷的天氣所購置的。但後來按花蓮縣府規定，這塊地無法建屋，原本讓父親在花蓮安養的規劃也就無法實現，最後成為我卸任行政院長後假日務農的所在。 第五筆是我今年為了搬到桃園居住，在中壢購置的公寓自宅。綠營側翼就是在這筆，惡意扭曲，說我擁有一片「一萬一千平方公尺」的土地，是大地主．其實我只是這塊地上千個住戶的其中之一，土地持份大約4坪。 最後一筆土地，是在三芝，同樣是在一大片土地中有一小塊持分，大約0.5坪。這塊地，是我安奉父母親遺骨的塔位。 這些就是全部的事實。 綠營網軍刻意扭曲，謊稱我持有大片土地，這背後的惡意我實在無法接受！ 我的整個生涯，如果有累積任何成就或者資產，都是父母跟整體台灣社會給我的幫助。 在我幼時，父親是中油的員工。白天上班，晚上兼差。母親照顧我、教育我，讓我得以生活在幸福的家庭。我台大畢業，赴美唸書時，父親拿出了絕大部分的退休金，才有了我碩士的生活費及學費。這些犧牲，我都十分感恩。 我有經濟能力後，購置房地，以盡孝養，是我為人子的責任。知親恩，報親恩，份屬應當。 同樣的，當初如果沒有孫運璿先生、李國鼎先生大力發展台灣的科技產業，諸多前輩企業家開疆闢土。我也沒有辦法進入科技業擔任經理人，改善家庭的經濟狀況。 國家以及社會給我的環境，讓我自己有好的發展，還可以奉養父母，安度晚年。我一定要有所回報。 後來我擔任公職，到現在參選公職，就是抱著這份心情。希望能替所有的年輕人創造好的環境，像我當初一樣，參與科技產業的高速發展，改善自己與家庭的生活。接下來，我仍然會秉持初衷，和大家一起為桃園打造善好的未來。 我要告訴那些抹黑我的人，胡亂造謠，我一定提告。批評甚至攻擊，或許是選戰的常態。但不要為了選舉，失去台灣人的善良！,https://www.facebook.com/photo.php?fbid=850515423104358&set=a.716783703144198&type=3,,,,,,,,"35,043",3.23
張善政,SanCheng624,100044377241488,PERSON,TW,一輩子都是做事的人，只知道把事情做好，無論在任何職務上。,2018-06-11 14:54:18,164776,179198,2022-11-19 07:09:26 CST,2022-11-19,07:09:26,Photo,"34,424",32013,1141,366,144,1,15,1,7,736,,-,0,0,0,N/A,https://www.facebook.com/100044377241488/posts/877280327094534,在我們多數人還在熟睡、天還沒亮的時候，中壢果菜批發市場早已人聲鼎沸，披著夜色與晨光，他們辛苦打拚，讓上班族能買到熱騰騰的便當、逛市場的人都能買到各樣的蔬果。 早上5點，來和攤商與勞工朋友們問好，6點天微微亮，可以感受到整個城市逐漸甦醒過來。 感謝你們的付出與汗水，撐起了整座城市！,https://www.facebook.com/photo.php?fbid=877280090427891&set=a.716783706477531&type=3,,,Photos from 張善政's post,,,,,"34,424",3.17
