Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,38928,39575,2022-08-17 17:55:31 CST,2022-08-17,17:55:31,Photo,"27,042",22405,1701,295,210,4,60,6,40,2321,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/608563160641238,"今天正式接受民進黨的提名，扛起責任，擔任2022年桃園市長候選人。 還記得七年前，2015年4月15日，當時我很榮幸和 蔡英文 Tsai Ing-wen 主席一同接受民進黨的提名徵召。當天記者會主題是「找回自信，點亮台灣」，我是被徵召的立委提名人，同時也是輪值發言人，我要負責主持蔡英文主席參選總統的記者會，也等於主持自己被提名的記者會。一人多工，請大家放心。 我相信蔡主席、鄭市長一定可以信任我，不論何時、什麼任務，只要台灣有需要、民進黨有需要，鄭運鵬就會扛起責任、使命必達。 過去一年多時間，媒體朋友問我桃園市長徵召的看法，我說的最多的一句話是：「如果民進黨提名我參選，我的責任就是一定要勝選」。這不只是個人的自信，而是中央有蔡英文總統、 蘇貞昌 院長的執政好成績；地方有 鄭文燦 市長翻轉桃園，靠著五星級施政獲得市民的超高支持。 我是站在蔡英文總統、蘇貞昌院長、鄭文燦市長三位巨人的肩膀上，來參與這次桃園市長選舉。有時候選舉就是這樣，有一點點逆風，我們桃園隊感覺滿涼快的，我們前進的腳步會更快。 2020年疫情開始肆虐，但台灣的經濟是全界少見的逆勢成長，不但是亞洲四小龍之首，也是全世界主要經濟體中唯一正成長。2021年的經濟成長率更創11年來新高，超過6%，國內生產毛額（GDP）也首次平均超過3萬美元。2017年以來，年年歲入超收，台灣經濟榮景盛況空前，民進黨真的做到了「點亮台灣」，身為本黨立法委員，我與有榮焉。 過去八年，在鄭市長帶領下，桃園是六都人口成長最快速的城市，八年成長21萬人。此外，這幾年因為疫情、中美貿易戰，台商回流台灣，投資台灣三大方案，總投資1.7兆，桃園就佔了3,400億，全國第一，企業選擇桃園是現在進行式。機場捷運通車，捷運綠線、鐵路地下化動工，桃園新圖書總館、會展中心、市立美術館也即將在這兩年陸續完工，桃園正在以光速全力衝刺前進。桃園市在鄭文燦市長的帶領下，改變是有目共睹的，身為桃園立委，我成就感十足！ 雖然在各種因素之下，今天我成為今年九合一選舉民進黨最後提名的直轄市長候選人。智堅勇敢承擔責任，選擇退選，雖然令我們不捨，但我要告訴大家，鄭運鵬不是來逆轉勝的，我是來擴大領先分數。 調整隊伍從控球後衛轉任得分箭頭，最後一棒也跑最快，最後衝刺，桃園新竹一起勝利，一起成為台灣的心臟、世界的引擎。運轉桃園，大。進。化！ 最後拜託大家，鄭運鵬一票，18歲公民權一票。謝謝大家！",https://www.facebook.com/photo.php?fbid=608550483975839&set=a.254782089352682&type=3,,,,,,,,"27,042",8.22
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,98408,98720,2022-10-31 10:58:56 CST,2022-10-31,10:58:56,Photo,"25,565",22194,2043,374,135,29,329,16,121,324,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/665474508283436,鄭運鵬愚公移山，找來護國神山，做市民的靠③ 今天媒體報導，台積電將啟動先導計畫，不僅投資要落腳桃園，而且是最突破、最先進的兩奈米以下製程。這一年多來，有如愚公移山，我們終於讓 #護國神山，成功地來到桃園。 事實上，在整個投資案的過程中，我大約在一年前先請教國科會吳政忠主委，探詢相關可能性後，就跟鄭文燦 市長率領的市府齊心協力，市府負責在地的各種招商協助，我則是扛起向蔡英文 Tsai Ing-wen總統、蘇貞昌 院長報告說明的任務，隨後串聯包括國科會、經濟部等部會，從園區擴建到水電協助等各項可能規劃，務必要協助護國神山能夠因為投資桃園，而繼續保持領先。 這項工作已經籌備許久，很多朋友好奇我在去年底四大公投時，為什麼站在最前線辯護，除了我一直認為這是正確的國家基礎建設外，更是因為我知道，有一天桃園會需要大潭電廠提供更充沛的電力，讓桃園的半導體聚落更完整先進。所以公投這仗我們一定要守住，桃園才有繼續迎來台積電的機會。 我自己是工程背景，很多朋友在相關領域服務，我很了解當新竹飽和後的用地需求，考量地緣關係，成家立業的高階研發工程師，除了新竹，來桃園最適合。而且台積電在龍潭園區已經有2個先進封測廠，整個桃竹竹科技廊帶，從設備、化學材料、IC設計到晶圓製造、封裝測試及載板等等，可以說是全世界最完整的聚落。 我的看法是，龍科再擴大，將是未來台積電持續維持頂尖的關鍵場域。桃園目前就擁有護國群山產業鏈的上游和下游企業群，擁有絕對的服務優勢，台積電投資案不只是地方大事，也是台灣繼續在世界保持領先的關鍵。 過去我在立法院串接中央地方，未來我會在桃園市政府繼續推動。不管是單一窗口，全程服務的招商服務，或是成立半導體學院培育更多人才的基本條件，從台積電到大大小小的產業，運鵬一定全力以赴，讓我們桃園成為產業投資的最佳選擇。,https://www.facebook.com/photo.php?fbid=665476901616530&set=a.254782076019350&type=3,,,,,,,,"25,565",7.77
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,103795,104096,2022-11-26 20:02:07 CST,2022-11-26,20:02:07,Photo,"23,626",14085,2330,196,319,13,100,1820,7,4756,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/685947146236172,謝謝陪我到選戰結束的各位好朋友、鄭文燦市長，還有我們所有競選的幹部，所有支持者，大家晚安。 首先，運鵬要感謝大家，即使在最短的選舉過程中，我也感受到市民朋友對鄭文燦市長8年成績的肯定，也感受到大家對我的支持熱情，運鵬在此向大家致上最深的歉意，我們虛心接受桃園市民的選擇，這是我個人的努力不夠，這次的敗選責任應該由我一個人來承擔，感謝各位市民朋友、所有的輔選團隊、更感謝鄭文燦市長及團隊，在這段時間給我最大的支持與鼓勵。 剛才我已經致電張善政準市長，在這裡再一次表達恭喜，希望張善政準市長在往後4年任期，傾聽市民的需要，回應市民的需求，讓桃園繼續進步。 我知道大家現在的心情一定很沮喪、很難過，但我要告訴大家，選舉只是一時的，紛擾、對立都會過去。鄭文燦市長8年對桃園建設的好成績，不會因為一場選舉就消失，我們還是要繼續守護我們最心愛的桃園。 桃園是個正在起飛的都市，在選戰過程中，我所提出建設桃園的政策，我會繼續支持，也請大家祝福桃園繼續進步。 我對桃園有最深厚的感情，也希望大家不需要因為這次的選舉，對我們的民主懷疑，對自己的價值懷疑，我們一起讓桃園更美好、台灣更美麗。沒有讓支持者達成希望，我再次跟大家說對不起，希望大家繼續給民進黨機會，我們會在各方面虛心檢討，我們會更加努力。 謝謝大家，明天之後，我會在立法委員的崗位上繼續努力回饋桃園，感謝大家，謝謝各位。 有我在，大家放心。,https://www.facebook.com/photo.php?fbid=685947052902848&set=a.254782076019350&type=3,,,,,,,,"23,626",7.18
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,56089,56776,2022-08-29 13:27:30 CST,2022-08-29,13:27:30,Photo,"20,654",17162,1368,171,153,8,113,6,69,1604,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/617420303088857,今天我帶著桃園隊一起完成參選登記，第一天就完成登記，表示我們桃園隊有後發先至的實力跟決心！ 各位鄉親塞給我的喉糖、枇杷膏、八仙果、蜂膠、消炎藥，我已經通通吃一遍，希望今天中午之後的行程，我的聲音能長一點回來。 感謝各位朋友的關心，我會努力養聲，日後才可以幫大家持續發聲。接下來的選舉，會走向正面歡樂，全體桃園隊會通通全壘打，順利當選大進化！💪 #運轉桃園大進化 鄭文燦 黃世杰 林飛帆 立法委員湯蕙禎,https://www.facebook.com/photo.php?fbid=617418986422322&set=a.254782076019350&type=3,,,Photos from 鄭運鵬 Cheng Yun-Peng's post,,,,,"20,654",6.28
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,87430,87840,2022-10-05 14:21:51 CST,2022-10-05,14:21:51,Photo,"18,187",16806,561,220,69,9,159,4,48,311,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/644679673696253,各位桃園的勇者啊，又到了我們 #勇者號出任務 的時候了！ 以下為本週活動通知，大溪、平鎮的朋友，我們週末見！ 除了有精彩馬戲表演，現場還有免費棉花糖喔🍭 📣10/8(六) 下午4：00 號召「大溪小勇者」出任務！ 勇者號！出任務 親子劇場 來到 #大溪區 埔頂公園停車場 「馬戲之門」將帶來精采的馬戲團表演 10月8日星期六 🎈周邊遊樂攤位 15:00 開放 🤹開演時間 16:00 🎪大溪區埔頂公園停車場（仁善街及埔仁路口） — 📣10/9(日) 下午4：00 號召「平鎮小勇者」出任務！ 勇者號！出任務 親子劇場 來到 #平鎮區 中庸路 「創造焦點」將帶來精采的馬戲團表演 10月9日星期日 🎈周邊遊樂攤位 15:00 開放 🤹開演時間 16:00 🎪平鎮區中庸路（文心路至開封街段） — 📣10/7、10/14活動延期公告 ‼️原訂兩場活動，延期舉辦‼️ 10月7日（五）觀音區 草漯保障宮停車場 10月14日（五）中壢區 中壢中正公園 正式時間將另行公告 歡迎大家我的官方LINE：@nicepon 鎖定「勇者號出任務」最新活動資訊！,https://www.facebook.com/photo.php?fbid=644675600363327&set=a.254782089352682&type=3,,,Photos from 鄭運鵬 Cheng Yun-Peng's post,,,,,"18,187",5.53
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,52281,52949,2022-08-19 14:39:54 CST,2022-08-19,14:39:54,Photo,"17,244",13601,779,341,180,11,2097,2,10,223,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/610203157143905,桃園隊定裝照！一個城市要歡樂，就要從玩市長開始！ 今天跟 鄭文燦 市長以及議員、候選人們一起拍攝定裝照。這些照片未來不僅會成為文宣，更會出現在各大路口的看板。 我說過，這場選舉要有歡樂的感覺，當然影響城市景觀的看版也要歡樂起來！選舉應該是一場民主的嘉年華，有趣很重要、風格很重要。光劍、鋼彈、皮卡丘通通來！ ＃運轉桃園大進化,https://www.facebook.com/photo.php?fbid=610198993810988&set=a.254782089352682&type=3,,,Photos from 鄭運鵬 Cheng Yun-Peng's post,,,,,"17,244",5.24
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,56427,57116,2022-08-30 15:15:17 CST,2022-08-30,15:15:17,Photo,"17,181",13328,2712,561,76,23,263,4,49,165,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/618169616347259,國民黨張善政先生過去在民間企業時，以「複製貼上」的方式編寫研究報告，不可思議地領取了農委會高達5700多萬元的研究經費公帑。 張善政先生過去一段時間，為了選舉利益消費競爭對手，高喊誠信，今天被發現以不當的方式，從政府獲利5700多萬元。這跟日前大家所質疑的「張善政政見抄高中生論文」事件相比，又是更嚴重的層級。 張善政先生的三年計畫，主題為「分析與規劃」，我相信分析與規劃絕不該只是「蒐集」、「複製貼上」而已，甚至有些報告內容是直接來自委託他研究的農委會網站，難道農委會是花錢請人來複製貼上自己的網站嗎？這5700多萬元的政府公帑，完全浪費。 張善政先生的說法顯然無法說服大眾，張善政先生應該更正式向全民報告他是如何撰寫，並從政府領走近6000萬元；因為這不但是獲利的行為，更是不當獲利，是政府的國庫、政府的財產、人民的納稅錢。 我不期待張善政先生會用最嚴格的標準來檢視這個案子，但至少，請他用之前的同樣標準來檢視自己，並公開說明他未來將如何防弊，防止「張善政副總這樣的弊端」在桃園市政府發生，來給市民參考。,https://www.facebook.com/photo.php?fbid=618169089680645&set=a.254782076019350&type=3,,,,,,,,"17,181",5.22
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,100601,100876,2022-11-08 10:21:50 CST,2022-11-08,10:21:50,Photo,"14,973",12310,1690,343,104,52,213,11,105,145,,-,0,0,0,N/A,https://www.facebook.com/100044626770324/posts/671481364349417,四大首都圈共同宣布，首都通交通月票1200元！ 今天和台北市長候選人 陳時中、新北市長候選人 林佳龍 以及基隆市長候選人 蔡適應，共同宣布未來合作推出首都通交通月票1200元，落實綠色交通、2050淨零排放的目標。 首都通交通月票1200元也代表了整合市民朋友工作、生活、就學，也是一個跨縣市、跨運具、跨生活圈、跨年齡層的交通政策。 首都通交通月票1200元政策，希望照顧我們的桃園市民，未來將納入台鐵、國道客運、機場捷運以及未來捷運綠線和其他捷運路網，以後，只要一張卡，在北北基桃都能通行。 首都通交通月票1200元的推動，不僅一卡式有效整合，更將能夠降低國道通勤車輛數量，減少交通事故、減少塞車情形下，希望透過這個方式，鼓勵大家使用大眾運輸工具。 這次，我們北北基桃共同提出交通月票1200元政策，希望讓首都圈交通更方便、更好生活；未來，台積電也即將到桃園設廠，我會繼續努力，希望未來交通月票服務範圍，可以擴大到新竹、苗栗，完成整合北台灣生活圈的區域治理。讓運鵬做市民朋友的靠山，我會繼續拚，請大家放心將桃園交給我！ #首都通交通月票1200元 #桃園正進步 #進步不回頭 #放心有我在 #票投鄭運鵬,https://www.facebook.com/photo.php?fbid=671487961015424&set=a.254782076019350&type=3,,,,,,,,"14,973",4.55
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,101854,102134,2022-11-19 10:55:02 CST,2022-11-19,10:55:02,Live Video Complete,"14,906",12190,1491,328,331,21,44,26,99,376,owned,Yes,133405,134822,0,01:06:46,https://www.facebook.com/100044626770324/posts/795267848228256,蘇貞昌 院長來桃園啦！ 我們今天早上，我和 蘇貞昌 院長、鄭文燦 市長，在桃園區蓮華寺參香進行 #廟口開講！歡迎各位鄉親前來共襄盛舉，跟我們一起迎向勝利！ 📍桃園區蓮華寺（桃園區慈文路410號） ⏰11/19（六）早上 10:00（直播約 10:50 開始） #票投鄭運鵬 #進步不回頭 #市民有靠3,https://www.facebook.com/nicepongpong/videos/795267848228256/,,,桃園蓮華寺參香 暨 廟口開講 ft. 蘇貞昌、鄭文燦｜桃園靠3鄭運鵬,,,,,"14,906",3.92
鄭運鵬 Cheng Yun-Peng,nicepongpong,100044626770324,POLITICIAN,TW,"鄭運鵬服務處：
1、國會：02-23586666
2、桃園：03-3357255，自強路224號
3、龜山：03-3509005，萬壽路二段1050號
4、蘆竹：03-3221955，光明路二段233號",2015-10-05 03:47:30,101854,102134,2022-11-20 10:00:01 CST,2022-11-20,10:00:01,Native Video,"14,905",12426,846,285,122,4,38,5,50,1129,owned,Yes,790037,797028,0,00:01:04,https://www.facebook.com/100044626770324/posts/680821300082090,剩下一個禮拜就要投票了，我有些話想跟我最敬愛的桃園市民朋友說。 很多人問我，為什麼掃街上台的時候，都要用跑的？ 我想告訴大家的是，因為桃園的進步，沒有時間等待，要超越鄭文燦市長八年來的進步，我不能慢，要三步併作一步跑。 未來的桃園，建設要大，照顧要細，大到護國神山要來桃園落腳；三條捷運線，要在我的任內開工；航空城計畫要讓桃園變成國際都市。我們細到沒人依靠的產婦要照顧、罕見疾病家庭也都要照顧。 桃園不能等，弱勢朋友來敲門，要主動打開照顧的大門，讓市民與產業，讓整個桃園市，都受到全面的照顧。 我要告訴所有的市民朋友，有我在，請大家放心。 請放心將桃園的未來交給我。 我將帶領桃園進步更快，超越更多！ #票投鄭運鵬 ＃桃園進步不同頭 #1126出門投票 #望你牽成,https://www.facebook.com/nicepongpong/videos/535447368095223/,,,桃園有我在，請放心｜桃園靠3鄭運鵬,,,,,"14,905",36.8
